"Ferreteria Hierros H.D.";"ventasibague@hierroshd.com";"Tel: (58) (295) 2482906";"Cl 9 3-73 El Espinal, Venezuela";"A Domicilio Servicio A Domicilio"
"FLORES Y DECORACIONES JOSÉ GREGORIO C.A.";"";"Tel: (58) (241) 8940523";"Av Lisandro Alvarado, Local Nú 9, El Cementerio, Valencia Valencia, Venezuela";"Flores"
"PANADERIA Y PASTELERIA LA FLOR DE SAMAN, C.A.";"";"Tel: (58) (243) 2693662";"Av. Intercomunal, Saman De gÃare Maracay, Venezuela";"Flores"
"PASTELERIA Y CHARCUTERIA FLOR DE GALICIA C.A.";"";"Tel: (58) (244) 3215887";"Ac. F De Loreto La Victoria, Venezuela";"Flores"
"UNIDAD MÉDICA QUIRURGICA DR. RAMON FLORES";"";"Tel: (58) (251) 2321982";"Edif. Cavendes, P-1, Cons. 1-2, Carrera 18, E/Cls 23 Y 24 Barquisimeto, Venezuela";"Flores"
"PANADERIA PASTELERIA Y CHARCUTERIA FLOR DE CAGUA C.A.";"";"Tel: (58) (244) 3954813";"Cl. Bolivar Cagua, Venezuela";"Flores"
"PANADERIA , PAST Y CHARCUTERIA FLOR DE TRIGO,C.A.";"";"Tel: (58) (212) 8687365";"Av.106, Maguanagua Caracas, Venezuela";"Flores"
"DAFLORES.COM VENEZUELA";"";"Tel: (58) (212) 7710488";"Venezuela Caracas, Venezuela";"Flores"
"EDICA EDICIONES CAMEL CARACAS C.A.";"";"Tel: (58) (212) 9514849";"C.C. Chacaito, Nivel Sótano, Lc. 13 Caracas, Venezuela";"Formas Continuas"
"IMPRESO TRILIP CARACAS, C.A.";"";"Tel: (58) (212) 2716051";"Caracas Caracas, Venezuela";"Formas Continuas"
"FORJA UNO, C.A.";"";"Tel: (58) (286) 9940923";"Cl Arboleda, Zona Ind Matanzas Ciudad Guayana San Félix, Venezuela";"Formas Continuas"
"GRAFICAS CALIGRAFIC, C.A.";"";"Tel: (58) (212) 2516036";"Caracas Caracas, Venezuela";"Formas Continuas"
"GRESA";"";"Tel: (58) (258) 7661213";"Calle 1, N³7 Zona Industrial Tinaquillo, Cojedes Tinaquillo, Venezuela";"Formas Continuas"
"IMPRESORA TRANSANDINA. S.A.";"";"Tel: (58) (212) 6516086";"Maturin Caracas, Venezuela";"Formas Continuas"
"FINAMORE LITHO FORMS, C.A.";"";"Tel: (58) (251) 7194346";"Barquisimeto Barquisimeto, Venezuela";"Formas Continuas"
"PUBLIMASTER, C.A.";"";"Tel: (58) (241) 8329655";"Av. Prolongación Michelena Zona Industrial Norte Valencia, Venezuela";"Formas Continuas"
"XTRA PRINT";"";"Tel: (58) (212) 2374971";"Final Cl. Vargas Edf. Rio Alto Planta Baja. Boleíta Norte Caracas Caracas, Venezuela";"Formas Continuas"
"DAFOINCA C.A DATA FROM INDUSTRIAL";"";"Tel: (58) (241) 8714986";"Zona Ind Castillito Valencia, Venezuela";"Formas Continuas"
"GRAFIZULIA C.A.";"";"Telefax: (58) (261) 7211213";"Calle 91 N. 2B-54 Al Fondo del Antiguo reten de Bella Vista Maracaibo, Venezuela";"Formas Continuas"
"LITHOCOPY, C.A.";"";"Tel: (58) (212) 2371737";"Los Ruices Caracas, Venezuela";"Formas Continuas"
"INDUSTRIAAS GRAFICAS RODE, C.A.";"";"Tel: (58) (212) 9453065";"Zona Ind. La Trinidad - Caracas Caracas, Venezuela";"Formas Continuas"
"IMPRESO FORMACO, C.A.";"";"Tel: (58) (212) 5781357";"Paseo Colon, Plaza Venezuela Caracas, Venezuela";"Formas Continuas"
"GRAFO FORMAS PETARE, C.A.";"";"Tel: (58) (212) 2424447";"Cl. 8 Caracas, Venezuela";"Formas Continuas"
"GRAFIBOND S.A.";"";"Tel: (58) (212) 2843755";"4ta Trasnv Los Palos Grandes Qta Loas Caracas Caracas, Venezuela";"Formas Continuas"
"INVERSIONES RUDAGOU, C.A.";"";"Tel: (58) (212) 3959201";"Caracas Caracas, Venezuela";"Formas Continuas"
"SUPPLY EXPRESS C.A";"";"Tel: (58) (276) 3430671";"Cr 2 No. 15-62 La Ermita San Cristóbal, Venezuela";"Formas Continuas"
"FORMAS FEDERAL";"";"Tel: (58) (212) 8615324";"Cl. Real De Agua Salud, Entre Libertad Y Los Robles, No. 9, A Una Cuadra De La Estacion Del Metro Agua Salud Caracas Caracas, Venezuela";"Formas Continuas"
"GRAFICAS FORCONTI C.A.";"";"Tel: (58) (212) 9445802";"Cl. San Rafael, Zona Ind. L Caracas, Venezuela";"Formas Continuas"
"EL MAPACHE DE PAPEL";"";"Tel: (58) (295) 2639831";"Av.4 de Mayo, entre Banco Caroní y Banco Industrial, Edf San Valentin P.B Porlamar, Venezuela";"Fotocopiadoras"
"PUERTO COPY, C.A.";"";"Tel: (58) (281) 2673310";"Cl. Democracia, Nro.38 Puerto de  la Cruz, Venezuela";"Fotocopiadoras"
"COMERCIAL G Y F, C.A.";"";"Tel: (58) (286) 9231518";"Calle Moitaco con Carrera Ciudad Piar, Edif.Seguros Caracas P.B. Ciudad Guayana Puerto Ordaz, Venezuela";"Fotocopiadoras"
"REPRESENTACIONES ADRIÁN, C.A.";"";"Tel: (58) (286) 9236436";"Av. Monseñor Zabaleta C.C. Zabaleta, P.B. Local N³18 Puerto Ordaz Ciudad Guayana Puerto Ordaz, Venezuela";"Fotocopiadoras"
"DELCOP";"";"Tel: (58) (212) 9784344";"Av. Río Caura, Prados Del Este, Caracas Caracas, Venezuela";"Fotocopiadoras"
"FOTOLITO LOPEZ DIGITAL";"";"Tel: (58) (212) 7622767";"Francisco Solano López Sabana Grande Caracas, Venezuela";"Fotolitografía"
"FOTOGRABADOS VENELANDIA C.A";"";"Tel: (58) (212) 8721525";"Cll. Argentina Caracas, Venezuela";"Fotolitografía"
"ARTE GRAFIC FOTOLIT II C.A";"";"Tel: (58) (212) 4616117";"San Martín Caracas, Venezuela";"Fotolitografía"
"DI BARI MAC - PC SERVICES";"";"Tel: (58) (212) 2393323";"Cll. Los Laboratorios Caracas, Venezuela";"Fotolitografía"
"NOVO ARTE PRE-PRENSA DIGITAL";"";"Tel: (58) (241) 8259620";"Av. Monseñor Adam-Centro Empresarial Talislandia-P.B. Locales 10 y 11-El Valencia, Venezuela";"Fotolitografía"
"COMPLOT GRÁFICO C.A";"";"Tel: (58) (212) 7814219";"Av. Andres Bello Mariperez Caracas, Venezuela";"Fotolitografía"
"GRAFIEXPRESS DIGITAL";"";"Tel: (58) (241) 8716339";"C.C. Big Low Center, Nave F Local 12 Valencia, Venezuela";"Fotolitografía"
"IMAGEN COLOR LC C.A";"";"Tel: (58) (212) 2388973";"Centro Emp Miranda Piso 2 Loc 2 - A Los Ruices Caracas, Venezuela";"Fotolitografía"
"FOTOLITO TAMARIT C.A";"";"Tel: (58) (212) 2351798";"Cll. Argentina Caracas, Venezuela";"Fotolitografía"
"CORPORACIÓN DIGIPRESS C.A";"";"Tel: (58) (212) 2394787";"Cll. Santa Ana Centro Empresarial Boleita Piso 1 Oficina 1 - A Caracas, Venezuela";"Fotolitografía"
"FOTOLITO VILLAR S.R.L";"";"Tel: (58) (212) 4624982";"Cll El Matadero San Martín Caracas, Venezuela";"Fotolitografía"
"AGFA - GEVAERT DE VENEZUELA, S.A.";"";"Tel: (58) (212) 2636344";"Av. Principal La Castellana Edif. Centro Letonia Torre Ing Bank, Piso 9 Caracas, Venezuela";"Fotolitografía"
"FOTOLITO DIGITAL";"";"Tel: (58) (212) 2394820";"Edf. Los Almendros Local 2 Caracas, Venezuela";"Fotolitografía"
"GRÁFICAS ARAURE C.A";"";"Tel: (58) (212) 2420420";"Cl Araure El Marqués Caracas, Venezuela";"Fotolitografía"
"PUBLI ARTE FREE LANCE, C.A.";"";"Tel: (58) (212) 9595042";"Caracas Caracas, Venezuela";"Fotolitografía"
"NUNDACION SOCIO-CULTURAL VENEZOLANA RUSA "FRACISCO DE MIRANDA"";"";"Tel: (58) (293) 7624990";"La Campiña, Av.Libertador.Torre Maracaibo, Piso7,Ofic.7E Cumaná, Venezuela";"Fundaciones"
"FUNDACIÓN JUAN JOSE AGUERREVERE";"";"Tel: (58) (212) 3346298";"Blvard A Bendayán Los Caobos Caracas, Venezuela";"Fundaciones"
"FUNDACION CIEPE";"";"Tel: (58) (254) 8030125";"San Felipe San Felipe, Venezuela";"Fundaciones"
"FUNDACIÓN BIGOTT";"";"Tel: (58) (212) 2057108";"El Vigía Petare Caracas, Venezuela";"Fundaciones"
"FUNDACIÓN SOCIO - CULTURAL VENEZOLANA RUSA "FRANCISCO MIRANDA "";"";"Telefax: (58) (212) 7630769";"La Campiña Av. Libertador Torre Maracaibo Piso 7 Of. 7 E Caracas, Venezuela";"Fundaciones"
"OXIGENO BELLO MONTE C.A. - FERRETERIA INDUSTRIAL";"";"Tel: (58) (212) 7537058";"Av.Principal Colinas de Bello Monte Esquina Calle Don Juan., Edif.Lepanto Caracas, Venezuela";"Gases Industriales"
"COMERCIAL NUEVO TUY C.A";"";"Tel: (58) (239) 2310940";"Cll. Falcón Santa Teresa, Venezuela";"Gases Industriales"
"OXIA,C.A.";"";"Tel: (58) (212) 6939739";"Los Rosales Caracas, Venezuela";"Gases Industriales"
"CORPORACIÓN LABTRADE C.A.";"";"Tel: (58) (212) 2377915";"Av. Fco De Mda Los Ctjos De Lourdes Caracas, Venezuela";"Gases Industriales"
"OXIGENOS MARICHE C.A. - AGA";"";"Tel: (58) (212) 5322007";"Centro Cial., Los Díaz, Local 4, Km6,Filas de Mariches, Edo. Miranda Caracas, Venezuela";"Gases Industriales"
"CONDIAGA";"";"Tel: (58) (273) 7755912";"Centro Barinas, Venezuela";"Gases Industriales"
"DIFERTECA";"";"Tel: (58) (255) 6214912";"C.C. Reni Loc-2 E/Cl 30 Y 31 Av 27 E/Cl 30 Y 31 Acarigua, Venezuela";"Gases Industriales"
"INDUSTRIAS CONSOLIDADAS DE GASES I.C.G C.A";"";"Tel: (58) (212) 9879092";"Centro Lido Torre C, Of 63 C Caracas Caracas, Venezuela";"Gases Industriales"
"DISTRIBUIDORA DE OXIGENO GUAYANA,C.A.";"";"Tel: (58) (286) 9313482";"El Roble - Pto Ordaz Ciudad Guayana San Félix, Venezuela";"Gases Industriales"
"FERSAN S.R.L";"";"Tel: (58) (276) 3435004";"La Ermita San Cristóbal, Venezuela";"Gases Industriales"
"COMERCIAL REGIONAL CHARALLAVE C.A";"";"Tel: (58) (212) 2481524";"Av. Bolivar Caracas, Venezuela";"Gases Industriales"
"LIQUIANDES C.A";"";"Tel: (58) (276) 3430865";"Cr 12 Barrio Obrero San Cristóbal, Venezuela";"Gases Industriales"
"GASES INDUSTRIALES DEL ESTE C.A";"";"Tel: (58) (212) 2371708";"El Carmen Buena Vista Caracas, Venezuela";"Gases Industriales"
"REPRESENTACIONES ITS DE VENEZUELA C.A";"";"Telefax: (58) (212) 2347197";"Av. Rómulo Gallegos Horizonte Caracas, Venezuela";"Gases Industriales"
"AIRSEP";"";"Tel: (58) (212) 2377915";"Av. Fco De Mda Los Ctjos De Lourdes Caracas, Venezuela";"Gases Industriales"
"MACCAFERRI DE VENEZUELA S.A";"";"Tel: (58) (212) 2424495";"Cll. No 8 LA Urbina Caracas, Venezuela";"Geosintéticos"
"MUROS";"";"Tel: (58) (243) 2713771";"Calle el Cambio, Edif No 19, Zona Ind.El piñonal ll Maracay,Edo, Aragua Maracay, Venezuela";"Geosintéticos"
"GONZALEZ, GISELA LABRADOR DE DRA.";"";"Tel: (58) (212) 9853680";"Clínica Santa Sofia, Piso 1 Cons. 103 Av. Ppal Santa Sofía Caracas, Venezuela";"Hematología"
"DOCTORES GARCIA - MALAVER";"";"Tel: (58) (212) 5754539";"Esq. Pte Brión, La Candelaria Caracas, Venezuela";"Hematología"
"TALLER DE HERRERÍA MIRAMAR, S.R.L.";"";"Tel: (58) (212) 3323686";"Ramos A Cervecería, Maiquetía Caracas, Venezuela";"Herramientas"
"HERRAMIENTAS Y TRANSMISIONES, C.A.";"";"Tel: (58) (286) 9525828";"Unare II, Puerto Ordaz Ciudad Guayana Puerto Ordaz, Venezuela";"Herramientas"
"SUPLIDORA E IMPORTADORA VENEZOLANA C.A.";"";"Tel: (58) (261) 7643489";"Av 17 Los Haticos N. 120-04 Local 1 Frente a Bazar Center Edo Zulia Maracaibo, Venezuela";"Herramientas"
"ANTONIO GUZZO C.A.";"";"Tel: (58) (212) 2346928";"Av Las Palmas, Boleita Caracas, Venezuela";"Herramientas"
"ROBERT BOCSH S.A";"";"Tel: (58) (212) 2359453";"Final Cl. Vargas Edif. Centro Berimer Boleíta Norte Caracas, Venezuela";"Herramientas"
"ELECTRO TOOLS DE VENEZUELA C.A";"";"Tel: (58) (241) 8715036";"Zona Ind Castillito Valencia, Venezuela";"Herramientas"
"BLACK & DECKER DEWALT";"";"Tel: (58) (212) 4846726";"Av. Guzmán Blanco Cota 905 El Paraíso Caracas, Venezuela";"Herramientas"
"HERCOFER C.A";"";"Tel: (58) (241) 8324527";"Industria Carabobo Valencia, Venezuela";"Herramientas"
"DISTRIBUIDORA METALMECANICA, C.A.";"";"Tel: (58) (261) 7352033";"Circunv. No. 2, Al lado De C.C. Dividivi Edif. Distrimeca, Maracaibo Maracaibo, Venezuela";"Herramientas"
"IMORECA C.A";"";"Tel: (58) (241) 8313315";"CI Michelena CC Magaz Local Nro 1 Valencia, Venezuela";"Herramientas"
"DILORENZO";"";"Tel: (58) (243) 8382944";"Maracay Maracay, Venezuela";"Herramientas"
"TORINCA";"";"Tel: (58) (261) 7428177";"Av.15, Res. Tamaiba Loc.1-2, Las Delicias Maracaibo, Venezuela";"Herramientas"
"MI TORNILLO, C.A.";"";"Tel: (58) (275) 8812605";"Av.15, Sc. La Inmaculada El Vigía, Venezuela";"Herramientas"
"TORNIMACK, C.A.";"";"Tel: (58) (271) 2254219";"Av.Bolívar, Sector La Marchantica, Edif.Moravie, Local 1, Valera Valera, Venezuela";"Herramientas"
"TONY TORNILLO, C.A.";"";"Tel: (58) (276) 3472627";"5ta Av La Concordia San Cristóbal, Venezuela";"Herramientas"
"FETIPLOM-FERREPLOMERIA TIRRENO C.A.";"";"Tel: (58) (212) 3226068";"Av Bicentenario, Ramo Verde Caracas, Venezuela";"Herramientas"
"SUPLI ANDES, C.A.";"";"Tel: (58) (276) 3442230";"Av. Guayana, C.C. Paseo La Villa Local A2 - 11 San Cristóbal, Venezuela";"Herramientas"
"OLY-COPIA C.A.";"";"Tel: (58) (212) 2323444";"3ra, Los Ruices Caracas, Venezuela";"Herramientas"
"TORNILLOS.COM C.A.";"";"Telefax: (58) (276) 3471366";"Carrera 6 Bis, N³4-32, La Concordia, Diagonal al Diario La Nación San Cristóbal, Venezuela";"Herramientas"
"OFICINA TECNICA JAN VAN GRONINGEN, C.A.";"";"Telefax: (58) (276) 3553052";"Carrera 22 No. 12 - 128 Barrio Obrero San Cristóbal, Venezuela";"Herramientas"
"J BRAZZODURO C.A";"";"Telefax: (58) (251) 2373051";"Zona Ind 1. Carrera 4 Esq. Calle 25 Edif. Multiservicios Comdibar 1 Barquisimeto, Venezuela";"Herramientas"
"METALURGICAS SARDO 2000, SARDO 2000 C.A";"";"Tel: (58) (212) 3528789";"Cl. Balneario Catia La Mar Caracas, Venezuela";"Herramientas"
"ARDIMECA C.A";"";"Tel: (58) (241) 8241252";"Calle 133 Prebo Valencia, Venezuela";"Herramientas"
"SA HERRAPRESA";"";"Tel: (58) (243) 5377739";"z Ind San vicente Ii Maracay, Venezuela";"Herramientas"
"CONSTRUCCIÓN Y EQUIPOS INEQUIP C.A";"";"Tel: (58) (265) 6317975";"Av. Intercomunal Ciudad Ojeda, Venezuela";"Herramientas"
"HIERROS SAN FÉLIX, C.A.";"";"Tel: (58) (286) 7129900";"Av Antonio Cisneros, Zona Ind Chirica, Pto. Ordaz Ciudad Guayana Puerto Ordaz, Venezuela";"Herramientas"
"UMYDEPI TOOLS S.R.L";"";"Telefax: (58) (212) 2341309";"Av. Ppal. La Carlota Edif. Timae Loc. 1 Caracas, Venezuela";"Herramientas"
"TU TORNILLOS JULIO C.A.";"";"Tel: (58) (271) 2213072";"Av. Bolívar, Sector La Plata, Edif. Tornillo Julio Valera, Venezuela";"Herramientas"
"HIDROMATERIALES";"";"Tel: (58) (212) 2341566";"Cl. El Carmen Con 3ra. Transversal - Edif. Hidromateriales Los Dos Camino s - Caracas 1071 - Venezuela Caracas, Venezuela";"Herramientas"
"INDASER, C.A.";"";"Tel: (58) (243) 5516314";"Cl. H, Parcela No. 14 Z Ind. San Vicente Ii Maracay, Venezuela";"Herramientas"
"ANCLAJES BETANIA CA";"";"Tel: (58) (281) 2674302";"Av.Municipal No 23 Edificio Marluche Local 1Y 2 Puerto de  la Cruz, Venezuela";"Herramientas"
"HIERRO Y ALUMINIO SAN JOSÉ, S.R.L.";"";"Tel: (58) (251) 2376679";"Zon ind I E/Cl 8 y 10 Barquisimeto, Venezuela";"Herramientas"
"SUMTEC";"";"Tel: (58) (212) 2856410";"Ctro. Plaza Torre C Piso 16 Ofic 16a Caracas, Venezuela";"Herramientas"
"CHERSIA SUMINISTROS, C.A.";"";"Telefax: (58) (281) 2674564";"Av Bolívar, Nú 433 Y 435, Edif. Chersia II, Puerto La Cruz Edo. Anzóategui, Venezuela Puerto de  la Cruz, Venezuela";"Herramientas"
"OLYMPIA ZULIA, C.A.";"";"Tel: (58) (261) 7875977";"Cl. 100, Sabaneta Larga Maracaibo, Venezuela";"Herramientas"
"BLACKFER, C.A.";"";"Tel: (58) (261) 7928508";"Santa Rita - Maracaibo Maracaibo, Venezuela";"Herramientas"
"MATERIALES HIDROSANITARIOS, C.A.";"";"Tel: (58) (212) 6901536";"Av. Pdte. Medina, Las Acacias Caracas, Venezuela";"Herramientas"
"HERRAMIENTA B & D VENEZUELA C.A.";"";"Tel: (58) (212) 2578774";"Cl. Las Tinajas, El Llanito Caracas, Venezuela";"Herramientas"
"HEYSUCA";"";"Tel: (58) (286) 9525434";"Zona Ind Unare II, Puerto Ordaz Ciudad Guayana Puerto Ordaz, Venezuela";"Herramientas"
"EL RINCÓN DEL CARPINTERO";"";"Tel: (58) (295) 2640253";"Av Francisco Esteban Gómez (Entre Farmatawil Y La Clínica Del Cáncer) La Arboleda, Porlamar Porlamar, Venezuela";"Herramientas"
"CORPORACIÓN PINKERT - CORPINKERT S.A";"";"Tel: (58) (212) 9413175";"Cl. Peñon Los Samanes Caracas, Venezuela";"Herramientas"
"TECNOFIX C.A";"";"Tel: (58) (212) 2574878";"Av. San Francisco Macaracuay Caracas, Venezuela";"Herramientas"
"ESTRUCTURAS ROMER C.A";"";"Tel: (58) (212) 9420153";"Cl. Redoma Hoyo De La Puerta Caracas, Venezuela";"Herramientas"
"COMERCIAL EL ROSARIO, C.A.";"";"Tel: (58) (294) 3319207";"Av. Universitaria Carúpano, Venezuela";"Herramientas"
"INDUSTRIAS RAYCO C.A";"";"Tel: (58) (212) 4625107";"Av. Paéz El Paraiso Caracas, Venezuela";"Iluminación"
"STUDIO C.A.";"";"Tel: (58) (212) 9795497";"Edif. La Pirámide, Piso 4. Ofic. 406 Av. Río Caura, Parque Humboldt Prados Del Este, Caracas 1080 Caracas, Venezuela";"Iluminación"
"INVERSIONES HALIDE - LUX C.A";"";"Tel: (58) (212) 2323590";"Buena Vista Caracas, Venezuela";"Iluminación"
"LA ELECTRICA-SUCESORA DE F. FLORES C.A.";"";"Tel: (58) (212) 5783576";"Socarras A Puente Yanes No. 62, La Candelaria Caracas, Venezuela";"Iluminación"
"MANELCA";"";"Tel: (58) (212) 3428114";"Caracas Caracas, Venezuela";"Iluminación"
"LUMECA";"";"Tel: (58) (269) 2545863";"C.C. Las Trinitarias. Local 26-G Punto Fijo, Venezuela";"Iluminación"
"OTAI DESIGN";"";"Tel: (58) (212) 7313007";"Cl Pomagas Edif Otai, Alt Florida Caracas Caracas, Venezuela";"Iluminación"
"INDUSTRIAS LEGA C.A";"";"Tel: (58) (212) 5528411";"Av. Humboldt Qta Coromotana No 16 San Bernandino Caracas, Venezuela";"Iluminación"
"VCP VENEZUELA S.A";"";"Tel: (58) (241) 8326990";"Sta Transversal Valencia, Venezuela";"Iluminación"
"LAMPTRONIC C.A";"";"Tel: (58) (241) 8680257";"Av. Bolivar Naguanagua Naguanagua, Venezuela";"Iluminación"
"ILUMINACIÓN LAMPORIENTE C.A.";"";"Telefax: (58) (212) 2371960";"Av Ppal De Boleita Nte Entre Cl Sanatorio Del Avila Con Cl Vargas Caracas, Venezuela";"Iluminación"
"PROLIGHT";"";"Tel: (58) (212) 2322362";"Av. Romulo Gallegos Edf. Malala Ofc. c2 Mezz Urb. Horizonte 1071 Caracas, Venezuela";"Iluminación"
"LUMICENTRO";"";"Tel: (58) (212) 9932861";"Av Ppal, Las Mercedes c/c Nueva York Caracas, Venezuela";"Iluminación"
"ABELEC-ABASTECIMIENTOS ELECTRICOS S.A.";"";"Tel: (58) (212) 2325197";"Cl Capitolio Cruce Con Av Romulo Gallegos, Boleita Sur Caracas, Venezuela";"Iluminación"
"ELECTRO MATERIALES DISOSA C.A.";"";"Tel: (58) (212) 2581577";"Av Milan Los Ruices Sur Edif Novalar P.B. los Ruices Sur Caracas, Venezuela";"Iluminación"
"LAMPARAS HERMANOS PECORARO IV C.A";"";"Tel: (58) (243) 2694967";"Av. Intercomunal Maracay, Venezuela";"Iluminación"
"GRUPO VENELUX C.A";"";"Telefax: (58) (212) 2380795";"2da Transv. De Boleita Sur Entre Av. Ppal Y Av. Las Palmas Qta Nazareth Caracas, Venezuela";"Iluminación"
"ILUMINACIÓN GUEDEZ S.R.L";"";"Tel: (58) (212) 2567357";"Av. Bolivar El Llanito Caracas, Venezuela";"Iluminación"
"LAMPARAS EL MARQUES C.A";"";"Tel: (58) (212) 2343476";"5ta Tranv. Montecristo Caracas, Venezuela";"Iluminación"
"DISTRIBUIDORA MARCOR C.A";"";"Tel: (58) (212) 4223355";"Ct El Junquito Km 12, Luis Hurtado , El Junquito Caracas, Venezuela";"Iluminación"
"BORGGINI ILUMINACION";"";"Tel: (58) (261) 7434166";"Fuerzas Armadas Maracaibo, Venezuela";"Iluminación"
"LIGHT CONCERT PRODUCTION C.A";"";"Tel: (58) (212) 2867905";"Av. Sucre Los Dos Caminos Caracas, Venezuela";"Iluminación"
"NO - WATT";"";"Tel: (58) (212) 2570704";"Cl. Milán Los Ruices Sur Caracas, Venezuela";"Iluminación"
"ABITARE C.A.";"";"Tel: (58) (261) 7932168";"Calle 72 C.C. Las Tinajitas Maracaibo, Venezuela";"Iluminación"
"ELECTROMAX";"";"Tel: (58) (212) 2347481";"Cl Capitolio, Boleita Sur Caracas, Venezuela";"Iluminación"
"LIGHTS AND FX C.A";"";"Tel: (58) (212) 9445009";"Av. Paseo Guaicapuro Baruta Galpon 10 - 02 Caracas, Venezuela";"Iluminación"
"DISTRIBUIDORA ROBLAN C.A.";"";"Tel: (58) (212) 3618722";"1ra Av Zona Ind Del Este Edif Roblan Sector Maturin Edo Miranda Guarenas, Venezuela";"Iluminación"
"ARTIPLAN, C.A.";"";"Tel: (58) (281) 2633753";"Vía Alterna, Sector Razetti, Barcelona Barcelona, Venezuela";"Iluminación"
"IMPERMEABILIZADORA CARTELLE C.A.";"";"Tel: (58) (276) 3412743";"Carrera 2 Con Calle 3 Bis No. 1-71 Santa Teresa San Cristóbal, Venezuela";"Impermeabilizantes"
"IMPERMEABILIZADORA ANDINA C.A.";"";"Tel: (58) (276) 3566085";"Calle 2 Con Carrera 1 Local 0-189 Colinas de Antaraju San Cristóbal, Venezuela";"Impermeabilizantes"
"DISTRIBUIDORA IPA S.A";"";"Tel: (58) (212) 2727175";"Av. Madrid C/C Cl. París La California Norte Caracas, Venezuela";"Impermeabilizantes"
"PROIMCEMCA";"";"Tel: (58) (251) 4411528";"Cr 3 E Con Calle 2 y 4 Zona Industrial Ii Barquisimeto, Venezuela";"Impermeabilizantes"
"INDUSTRIAS PRODUCTOS ASFALTICOS C.A.";"";"Tel: (58) (261) 7938647";"Avenida 2A 85-312 Antes Union Al Lado de la Plaza Alonso Ojeda Maracaibo, Venezuela";"Impermeabilizantes"
"SIKA VENEZUELA C.A";"";"Tel: (58) (261) 7922467";"Av El Milagro Frente a Resid San Martin Entre Av 5 de julio y Av Dr Portillo Maracaibo, Venezuela";"Impermeabilizantes"
"SERVIEDIL";"";"Tel: (58) (261) 6112521";"Sector la Matancera Maracaibo, Venezuela";"Impermeabilizantes"
"IMPERMEABILIZADORA OTECA";"";"Tel: (58) (261) 7830301";"Avenida 28 La Limpia Cruce Con Autopista N. 1 Maracaibo, Venezuela";"Impermeabilizantes"
"PROTEGE, C.A.";"";"Tel: (58) (286) 9233242";"Cl. Mexico, Campo B- Ii Ciudad Guayana Puerto Ordaz, Venezuela";"Ingenieros"
"LCC INGENIEROS CONSULTORES";"";"Telefax: (58) (286) 7180758";"Zona Ind. Los Pinos, C.c Los Pinos P.b., Local B, Ud 304 Ciudad Guayana Puerto Ordaz, Venezuela";"Ingenieros"
"DESARROLLO TECNOLOGICO";"";"Tel: (58) (286) 9527744";"C.c Gran Sabana, Ps 2 Ofc. 85 Av. Paseo Caroni Ciudad Guayana Puerto Ordaz, Venezuela";"Ingenieros"
"SUMINISTROS E INSTALACIONES CARABOBO, C.A.";"";"Tel: (58) (241) 8710335";"Av. El Parque,los Jarales Valencia, Venezuela";"Instalaciones Mecánicas"
"INSTITUTO UNIVERSITARIO DE ESTUDIOS MUSICALES - IUDEM";"";"Tel: (58) (212) 9620437";"Valle De Sertenejas Caracas, Venezuela";"Instituciones Universitarias"
"IUTEBA";"";"Tel: (58) (276) 5413579";"Rubio Rubio, Venezuela";"Instituciones Universitarias"
"UNET";"";"Tel: (58) (276) 3531612";"Rubio Rubio, Venezuela";"Instituciones Universitarias"
"INSTITUTO UNIVERSITARIO DE TECNOLOGIA RUFINO BLANCO FOMBONA";"";"Tel: (58) (212) 3238898";"Los Teques Los Teques, Venezuela";"Instituciones Universitarias"
"INSTITUTO UNIVERSITARIO PEDRO EMILIO COLL";"";"Tel: (58) (261) 7522909";"Av. 72, El Paraiso Maracaibo, Venezuela";"Instituciones Universitarias"
"IUTLA INSTITUTO UNIVERSITARIO DE TECNOLOGIA LOS ANDES";"";"Tel: (58) (276) 7623035";"La Victoria Edo Tachira Rubio, Venezuela";"Instituciones Universitarias"
"INSTITUTO UNIVERSITARIO POLITECNICO SANTIAGO MARIÑO";"";"Tel: (58) (273) 5324342";"Av. 23 De Enero Barinas, Venezuela";"Instituciones Universitarias"
"INSTITUTO UNIVERSITARIO DE TECNOLOGIA INDUSTRIAL IUTI";"";"Telefax: (58) (276) 3568255";"Pirineos San Cristóbal, Venezuela";"Instituciones Universitarias"
"INSTITUTO PEDAGOGICO RURAL GERVASIO RUBIO";"";"Tel: (58) (276) 7621746";"Av Via Bramon Misia Julia Rubio, Venezuela";"Instituciones Universitarias"
"IUTSO";"";"Tel: (58) (281) 2636197";"Calle Los Caobos, Sector La Barrocha ( Al Lado Del Colegio Lourdes II) Puerto de  la Cruz, Venezuela";"Instituciones Universitarias"
"UNIVERSIDAD RAFAEL BELLOSO CHACIN";"";"Tel: (58) (261) 7576001";"Prolongacion Circunvalacion No. 2 Cruce Con Av. Goajira Al Lado De Plazo De Toros Maracaibo, Venezuela";"Instituciones Universitarias"
"CIDIG";"";"Tel: (58) (251) 2546569";"Urbanizacion del Este , carrera 1, Qta.Siboney Barquisimeto, Venezuela";"Instituciones Universitarias"
"ATEMA ACADEMIA TECNICA DE MECANICA AUTOMOTRIZ";"";"Tel: (58) (212) 7539757";"Colinas De Bello Monte CC Polo Caracas, Venezuela";"Instituciones Universitarias"
