"CARRES";"";"Tel: (58) (244) 3225796";"Zona Industrial CI Presidente La Victoria, Venezuela";"Acarreos"
"SPACE TOURS VIAJES Y TURISMO, C.A.";"";"Telefax: (58) (212) 4617476";"Caracas Caracas, Venezuela";"Medios De Transporte"
"TURISMO COLORAMA, C.A.";"";"Tel: (58) (212) 2617732";"C.C. Bello Campo Caracas, Venezuela";"Medios De Transporte"
"TRANSPORTE EL NORTE, C.A.";"";"Tel: (58) (212) 6328982";"Av. El Paseo Los Rosales Caracas, Venezuela";"Medios De Transporte"
"AEROEXPRESOS EJECUTIVOS CA";"";"Tel: (58) (261) 7830732";"Maracaibo Maracaibo, Venezuela";"Medios De Transporte"
"INVERSIONES AIR GLOBAL FI C.A.";"";"Tel: (58) (212) 9850698";"Av Ppal, San Luis, Caracas Caracas, Venezuela";"Medios De Transporte"
"GRUVALCA";"";"Tel: (58) (245) 8315306";"Av.Lisandro Alvarado C7C Calle Altos de Guacamaya subiendo por el Hotel L os Pinos Valencia Guacará, Venezuela";"Medios De Transporte"
"SERVICIOS TURÍSTICOS Y TRANSPORTE OVOLY, C.A.";"";"Tel: (58) (212) 7613815";"El Recreo Caracas, Venezuela";"Medios De Transporte"
"SERVICIOS TRANSFISA, C.A.";"";"Tel: (58) (282) 4241940";"Av. José Anzoátegui Anaco, Venezuela";"Medios De Transporte"
"AUTOTO TRANSPORTE Y TURISMO, C.A.";"";"Tel: (58) (212) 5646491";"Socorro A San Román Caracas, Venezuela";"Medios De Transporte"
"MULTI TOURS, S.R.I.";"";"Tel: (58) (261) 7525909";"Indio Mara Maracaibo, Venezuela";"Medios De Transporte"
"TRASLADA";"";"Tel: (58) (212) 5632107";"Edif Sudameris Piso 4 Of 410 Av F.F.A.A Curce Con Av Urdaneta Caracas 101 0 Caracas, Venezuela";"Medios De Transporte"
"TALLER EL RETOÑO METEC, C.A.";"";"Tel: (58) (251) 2692532";"Circ. Norte, Sec. Las Tinajas Barquisimeto, Venezuela";"Medios De Transporte"
"C.A. MILUX TOURS";"";"Tel: (58) (212) 6938111";"Los Rosales - Caracas Caracas, Venezuela";"Medios De Transporte"
"INVERSIONES Y TRANSPORTE MATILDE AR, C.A.";"";"Tel: (58) (212) 5749819";"San Agustin Caracas, Venezuela";"Medios De Transporte"
"SERVIGRUAS GIMENEZ, S.R.I.";"";"Tel: (58) (251) 4455132";"Cl. 47, E/Cr 26 y 27 Barquisimeto, Venezuela";"Medios De Transporte"
"CARIBE GLOBAL TOURS";"";"Tel: (58) (295) 2642677";"Av. Bolívar, Porlamar Porlamar, Venezuela";"Medios De Transporte"
"HOLIDAY TOURS C.A.";"";"Tel: (58) (295) 2641311";"Av. Jm Patiño Porlamar, Venezuela";"Medios De Transporte"
"FRANCA TOUR'S";"";"Tel: (58) (243) 2335098";"Av Sucre Maracay, Venezuela";"Medios De Transporte"
"GRUAVENCA";"";"Tel: (58) (243) 5515684";"Cl. La Vaquera, San Vicente Maracay Maracay, Venezuela";"Medios De Transporte"
"RAVENTOURS, C.A.";"";"Tel: (58) (243) 2335078";"San Isidro, Av. Sucre Maracay, Venezuela";"Medios De Transporte"
"KUHNE & NAGEL, C.A.";"";"Tel: (58) (212) 9515090";"Av Fco De Miranda, El Rosal Caracas, Venezuela";"Medios De Transporte"
"ELEVADORES UNIÓN MOTOR, C.A.";"";"Tel: (58) (281) 2682541";"Frente a las Tortas Maura Av. Real de Guanta, Urb. Guanta Local No 47 Guanta, Venezuela";"Medios De Transporte"
"VIAJES SUEVIA, C.A.";"";"Tel: (58) (212) 5751833";"Esq. Teatro Caracas, La Candelaria Caracas, Venezuela";"Medios De Transporte"
"TRANSPORTE COLMAC OUTSOURCING, C.A.";"";"Tel: (58) (245) 5813275";"Av Principal, Paraparal Guacará, Venezuela";"Medios De Transporte"
"AKANAN TRAVEL & AVENTURE, C.A.";"";"Tel: (58) (212) 2668663";"Av. Bolívar, Chacao Caracas, Venezuela";"Medios De Transporte"
"TEAM MARINE";"";"Tel: (58) (212) 9639639";"Av Intercomunal La Boyera-El Haltillo Sector Los Pinos, La Boyera, Carac as Caracas, Venezuela";"Medios De Transporte"
"ESCRITORIO DE ABOGADOS RIANI JIMÉNEZ";"";"Tel: (58) (246) 8713317";"Calle 4 Calabozo , Venezuela";"Medios De Transporte"
"AGENCIA DE VIAJES LAFAYETTE TOURS";"";"Tel: (58) (212) 2435563";"Cl. 1, La Urbina Caracas, Venezuela";"Medios De Transporte"
"ADRIANCA, C.A.";"";"Tel: (58) (241) 8389236";"Isabelica Valencia, Venezuela";"Medios De Transporte"
"LOGÍSTICA INTELIGENTE LOGINSA, S.A.";"";"Tel: (58) (212) 5323989";"Filas De Mariche Filas de Mariche, Venezuela";"Medios De Transporte"
"SCHRYVER DE VENEZUELA TRANSPORTES INTERNACIO-NALES";"";"Tel: (58) (212) 7518238";"Calle Bethoven, Cnas de Bello Monte Caracas, Venezuela";"Medios De Transporte"
"EQUIXPRESS, C.A.";"";"Tel: (58) (212) 5776611";"Av Urdaneta, La Candelaria Caracas, Venezuela";"Medios De Transporte"
"VIAJES MIRANDA";"";"Tel: (58) (212) 9937511";"Las Mercedes - Caracas Caracas, Venezuela";"Medios De Transporte"
"TRANSPORTE APARICIO'S";"";"Tel: (58) (212) 6322978";"Prdo de Maria - Caracas Caracas, Venezuela";"Medios De Transporte"
"JAS FORWARDING WORLDWIDE";"";"Tel: (58) (212) 2643732";"Av. Libertador a/calles Elice y La Joya, Cto. Parima, Piso 10 Ofic. 1003- 1004 Chacao Caracas, Venezuela";"Medios De Transporte"
"TRANSPORTE EJECUTIVO ALOMAES EXPRESS, C.A.";"";"Tel: (58) (281) 2866685";"Av. Intercomunal Andrés Bello C.C. Cristal Plaza, Piso 4, local 6 Barcelona, Edo. Anzoátegui Barcelona, Venezuela";"Medios De Transporte"
"INTERNATIONAL LOGISTICS OVERSEAS C.A";"";"Tel: (58) (212) 2342167";"Caracas Caracas, Venezuela";"Medios De Transporte"
"TRANSPORTES Y SERVICIS FLORES";"";"Tel: (58) (243) 2721350";"La Esmeralda Maracay, Venezuela";"Medios De Transporte"
"VENECIA SHIP SERVICE, C.A.";"";"Tel: (58) (242) 3618711";"Cl Comercio Nro.2, Puerto Cabello Puerto Cabello, Venezuela";"Medios De Transporte"
"GENERAL DE INSPECCIONES";"";"Tel: (58) (261) 7367874";"Cl.109, San Pedro Maracaibo, Venezuela";"Medios De Transporte"
"VIAJES Y TURISMO ZUMAQUE C.A.";"";"Tel: (58) (212) 3551329";"Aeropuerto Internacional Maiquetía Caracas, Venezuela";"Medios De Transporte"
"COPA AIRLINES";"";"Tel: (58) (212) 9522510";"Av Francisco De Miranda Centro Lido Nv Miranda Loc No 22, El Rosal Caraca s Caracas, Venezuela";"Medios De Transporte"
"DEPÓSITOS MÓVILES, C.A.";"";"Tel: (58) (212) 2322755";"Caracas Caracas, Venezuela";"Medios De Transporte"
"AGENCIA DE VIAJES Y TURISMO TRANSCARIBE BAR QUISIMETO, C.A.";"";"Tel: (58) (251) 4452054";"Entre Carreras 19 y 20 Calle 37 Barquisimeto, Venezuela";"Medios De Transporte"
"TECNICA DE PRECISION EL PENDULO C.A.";"";"Tel: (58) (212) 9635553";"Cl. Los Mangos, El Hatillo Caracas, Venezuela";"Medios De Transporte"
"AMERICAN TRANSPORT & SERVICES C.A.";"";"Telefax: (58) (281) 2673832";"Calle Bolivar, Edif. Camara de Comercio Piso 3 Ofic. 35 Puerto de  la Cruz, Venezuela";"Medios De Transporte"
"AIRVANS EJECUTIVAS, C.A.";"";"Tel: (58) (212) 5766434";"Av. México, hotel Caracas Hilton Caracas, Venezuela";"Medios De Transporte"
"TRANSPORTE COPETRAN DE VENEZUELA, C.A.";"";"Tel: (58) (276) 7716724";"C.C. Frotera, Piso 1, Loc-17, Barrio La Popa San Antonio del Táchira, Venezuela";"Medios De Transporte"
"TRANSPORTACION NIMAR, C.A.";"";"Tel: (58) (281) 2754770";"Zona Ind Los Mesones Barcelona, Venezuela";"Medios De Transporte"
"COTECNA DE VENEZUELA C.A";"";"Tel: (58) (212) 7505100";"Av. Rómulo Gallego Santa Eduvigis Caracas, Venezuela";"Medios De Transporte"
"AGENCIA DE VIAJES FOOT LOOSE TOURS, C.A.";"";"Tel: (58) (212) 2851907";"Av. Andrés Bello, Los Palos Grandes Caracas, Venezuela";"Medios De Transporte"
"TRANSPORTE JULMAR EXPRESS, C.A. 1";"";"Tel: (58) (276) 7716654";"Calle 9 Entre Carreras 1 Y 2 Barrio Ocumare No. 1-25 San Antonio del Táchira, Venezuela";"Medios De Transporte"
"AGENCIA DE VIAJES OVNI TOURS, C.A.";"";"Tel: (58) (212) 2653579";"Av. Fco. de Miranda, Chacao Caracas, Venezuela";"Medios De Transporte"
"SOL AMERICA";"";"Tel: (58) (212) 3552707";"Maiquetia Caracas, Venezuela";"Medios De Transporte"
"LAS OLAS VIAJES Y TURISMO, C.A.";"";"Tel: (58) (241) 8253206";"Av. Bolivar Norte, C.C.Gravina I P.B. Lc 9 Valencia, Venezuela";"Medios De Transporte"
"AGENCIA DE VIAJES CUATRICENTENARIA, C.A.";"";"Tel: (58) (251) 4454386";"E/ Calles 37 y 38 Carrera 19 Barquisimeto, Venezuela";"Medios De Transporte"
"HUMBERMAR TOURS, C.A.";"";"Tel: (58) (281) 2813754";"Av. Principal de Lechería C.C. Los Delfines Local #1 Pb Lecherías, Venezuela";"Medios De Transporte"
"COSMOS TOUR & TRAVEL AGENCY, C.A.";"";"Tel: (58) (212) 3833935";"Carretera Panamericana Km.20 C.C. Don Pedro Local Pbc Sector Corralito Carrizal, Venezuela";"Medios De Transporte"
"VIAJES UNIGLOBE";"";"Tel: (58) (212) 2087700";"Av.Fco de Miranda, Edif.Parque Cristal Torre Oeste, P.6 Los Palos Grandes Caracas, Venezuela";"Medios De Transporte"
"UNION DE CONDUCTORES LA RESPONSABLE SC";"";"Tel: (58) (212) 5774917";"Esq. Horcones, San Agustín Caracas, Venezuela";"Medios De Transporte"
"TRANSPORTE SEGO CA";"";"Tel: (58) (241) 8532820";"Av Ppal Nva. Valencia c/c Calle Falcon, Valencia Edo. Carabobo Valencia, Venezuela";"Medios De Transporte"
"CARAIBI TRAVEL, C.A.";"";"Tel: (58) (212) 3833326";"Centro Profesional La Cascada Ofc. 2-4 Km. 21, Los Teques Los Teques, Venezuela";"Medios De Transporte"
"HALCONES DE OCCIDENTE CA";"";"Tel: (58) (276) 7873752";"Ureña Ureña, Venezuela";"Medios De Transporte"
"TRATEVENCA TRANSPORTE TERRESTRE VENEZOLANO CA";"";"Tel: (58) (212) 7631647";"Caracas Caracas, Venezuela";"Medios De Transporte"
"VIAJES Y TURISMO HALCÓN, C.A.";"";"Tel: (58) (212) 2858637";"Autop. 1, Los Palos Grandes Caracas, Venezuela";"Medios De Transporte"
"XANADU VIAJES Y TURISMO";"";"Tel: (58) (212) 9850522";"Av. Ppal, El Cafetal Caracas, Venezuela";"Medios De Transporte"
"EXPRESOS OCCIDENTE C.A.";"";"Tel: (58) (261) 7293912";"Terminal Macaraibo Maracaibo, Venezuela";"Medios De Transporte"
"TRANSPORTE SILEVER C.A.";"";"Tel: (58) (273) 7716664";"Av. Venezuela, Edif. Real Piso 2, Ofic. 202 Barinas, Venezuela";"Medios De Transporte"
"RETRANSA, C.A.";"";"Tel: (58) (261) 1550579";"Avenida 97, Panamericano Maracaibo, Venezuela";"Medios De Transporte"
"DIVA TOURS, C.A.";"";"Tel: (58) (251) 2544755";"C.C los Leones,local 32 Av l Leones Barquisimeto, Venezuela";"Medios De Transporte"
"TRAILERS REMOLMAR, C.A";"";"Tel: (58) (212) 4121722";"El Junko Caracas, Venezuela";"Medios De Transporte"
"HERMES VIAJES Y TURISMO, C.A.";"";"Tel: (58) (212) 2654838";"Av. San Juan Bosco Centro Altamira, P.B., Loc.23 Altamira Caracas, Venezuela";"Medios De Transporte"
"SAN PORT TOUR, C.A.";"";"Tel: (58) (212) 5727831";"La Candelaria Caracas, Venezuela";"Medios De Transporte"
"EXPLORE YACHTS TOURS";"";"Tel: (58) (212) 2870517";"Av. 1ra. Transv, Los Palos Grandes Caracas, Venezuela";"Medios De Transporte"
"CARRASCO MARINE CENTER, C.A";"";"Tel: (58) (212) 2675695";"Altamira Sur Caracas, Venezuela";"Medios De Transporte"
"EL ARTE INDUSTRIAL CA";"";"Tel: (58) (261) 7356013";"Calle 16 entre av 13 y 14 municipio san fransisco sector sierra maestra Maracaibo, Venezuela";"Medios De Transporte"
"DELTA MOVERS INTERNATIONAL C.A.";"";"Tel: (58) (212) 2578701";"Caracas Caracas, Venezuela";"Medios De Transporte"
"MENZIES AVIATION";"";"Tel: (58) (212) 3552472";"Aeropuerto Internacional Simón Bolívar Caracas, Venezuela";"Medios De Transporte"
"EL MEREY TOURS, C.A.";"";"Tel: (58) (283) 2555899";"Av Fernando Padilla El Tigrito, Venezuela";"Medios De Transporte"
"TURISMO DE LUJO";"";"Tel: (58) (212) 6939614";"Av. Zuloaga, Calle Los Claveles, Los Rosales, Caracas Caracas, Venezuela";"Medios De Transporte"
"SERVI GRÚAS DEL ESTE, C.A.";"";"Tel: (58) (241) 8591090";"Lomas Del Este Valencia, Venezuela";"Medios De Transporte"
"TRANSPORTE DON PEPE";"";"Tel: (58) (275) 8812724";"Av. Bolivar Local 1-2 El bosque El Vigía, Venezuela";"Medios De Transporte"
"FARENACA FÁBRICA REMOLQUES NACIONALES C.A.";"";"Tel: (58) (249) 2480962";"Carretera Charallave, Cúa, Km.1, Estado Miranda Miranda, Venezuela";"Medios De Transporte"
"AGENCIA DE VIAJES MALLORCA, C.A.";"";"Tel: (58) (212) 7626891";"Fte A Banesco, Boulevard Sbna Grande Caracas, Venezuela";"Medios De Transporte"
"FLETEMAR FLETAMENTOS MARÍTIMOS, C.A.";"";"Tel: (58) (242) 3615863";"Av La Paz Terreno Urb La Sorpresa, al lado de C.C. Venetto, Puerto Cabell o Edo Carabobo Puerto Cabello, Venezuela";"Medios De Transporte"
"VIAJES Y TURISMO MAR-GO, C.A.";"";"Tel: (58) (291) 6413921";"Av Luis D Valle, Qta Carola, Al lado del Cada, Maturín Maturín, Venezuela";"Medios De Transporte"
"RALLY TOURS C.A.";"";"Tel: (58) (212) 9511107";"Caracas Caracas, Venezuela";"Medios De Transporte"
"VIAJES GUAYANA";"";"Tel: (58) (286) 9226541";"Av. Las Américas Edif. Tucán, P.B., Local 6 Ciudad Guayana Puerto Ordaz, Venezuela";"Medios De Transporte"
"EXPRESOS ALIANZA, C.A.";"";"Tel: (58) (276) 3465758";"Av. 5ta, La Concordia San Cristóbal, Venezuela";"Medios De Transporte"
"OLIMPORT DE VENEZUELA";"";"Tel: (58) (265) 6412347";"Av. Intercomunal Carretera O Ciudad Ojeda, Venezuela";"Medios De Transporte"
"CATARINAS INTERNACIONAL";"";"Tel: (58) (266) 5649936";"Abanico A Maturín Edf.3-21, Altagracia Puertos de Altagracia, Venezuela";"Medios De Transporte"
"MYVINSA TOURS, C.A.";"";"Tel: (58) (212) 7610663";"Cl. Villaflor, Sabana Grande Caracas, Venezuela";"Medios De Transporte"
"REPLAY ARENA'S VIAJES Y TURISMO, C.A.";"";"Tel: (58) (212) 5714665";"Av. Universidad, La Candelaria Ctro. Parque Carabobo Caracas, Venezuela";"Medios De Transporte"
"MARINA AMERICO VESPUCIO";"";"Tel: (58) (281) 2820633";"Av. Americo, El Morro Lecherías, Venezuela";"Medios De Transporte"
"TRANSPORTE QUINTERO C.A.";"";"Tel: (58) (276) 2347338";"Calle 2 Bis, No. 2-37, El Pinal San Antonio del Táchira, Venezuela";"Medios De Transporte"
"LIBERTY TOURS & TRAVEL SERVICES, C.A.";"";"Tel: (58) (212) 9522833";"Chacaíto Chacaíto , Venezuela";"Medios De Transporte"
"CORPORACIÓN LABTRADE C.A.";"";"Tel: (58) (212) 2377915";"Av. Fco De Mda Los Ctjos De Lourdes Caracas, Venezuela";"Medios De Transporte"
"JATILLO TOURS, C.A.";"";"Tel: (58) (212) 9638035";"Av. Las Lomas, Lomas de La Lagunita Caracas, Venezuela";"Medios De Transporte"
"EXPRESOS GERARDYN";"";"Tel: (58) (212) 5418630";"Parroquia Santa Teresa Caracas, Venezuela";"Medios De Transporte"
"WALON, C.A.";"";"Tel: (58) (212) 7616373";"Bello Monte Caracas, Venezuela";"Medios De Transporte"
"AAA CONTINENTAL EXPRESS, S.R.L.";"";"Tel: (58) (212) 7303768";"Cl. Pedroza, La Florida Caracas, Venezuela";"Medios De Transporte"
"AGENCIA DE TRANSPORTE CANARIO 2000 CA";"";"Tel: (58) (212) 8323355";"Esq. Este 10 del Norte, San Agustín Caracas, Venezuela";"Medios De Transporte"
"TRANSPORTE ALIANS JEYMAR";"";"Tel: (58) (212) 5744827";"San Agustin del Norte Caracas, Venezuela";"Medios De Transporte"
"TRANSPORTE RODRIGUEZ PÉREZ SRL";"";"Tel: (58) (212) 5773715";"Cl. Petión A Callao, San Agustín Caracas, Venezuela";"Medios De Transporte"
"HERTZ RENTA MOTOR, C.A.";"";"Tel: (58) (261) 7350832";"Maracaibo Maracaibo, Venezuela";"Medios De Transporte"
"TRANSPORTE COINDER, C.A.";"";"Tel: (58) (212) 6321420";"Caracas Caracas, Venezuela";"Medios De Transporte"
"VIAJES MAGNIFICO, C.A.";"";"Tel: (58) (243) 2471494";"Cl. Mariño Sur Maracay, Venezuela";"Medios De Transporte"
"AGENCIA DE VIAJE TIO VEN MARGARITA";"";"Tel: (58) (295) 2631364";"Av.4 Mayo, C.C. jumbo Porlamar, Venezuela";"Medios De Transporte"
"GLOBOCARGO TRANSPORTE INTERNACIONAL C.A";"";"Tel: (58) (212) 7617011";"Cl Los Mnagos Con Fco. Solano Tr Los Mangos Loc 2 Sabana Grande Caracas, Venezuela";"Medios De Transporte"
"GRUPO GLOBAL INTERCONTINENTAL AGENCIA DE VIAJES C.A.";"";"Tel: (58) (212) 2376281";"Av.Fco. de Miranda, Ctro. Seguros La Paz, 4³ P. Pasillo Norte Of.N-42-B Caracas, Venezuela";"Medios De Transporte"
"AEROPREMIUM EJECUTIVO, C.A.";"";"Tel: (58) (212) 5765020";"Av.Este 2, Esq.de Colimodio, a Sur 23, Edif. Adm.Unión P.12, Of.12-A Caracas, Venezuela";"Medios De Transporte"
"SERVIBOX C.A.";"";"Tel: (58) (241) 8718373";"Cl. 101, Zona Ind Castillito Valencia, Venezuela";"Medios De Transporte"
"SUMINISTROS ANDINOS SA";"";"Tel: (58) (282) 4242777";"Cl. Via Los Pilones Anaco Anaco, Venezuela";"Medios De Transporte"
"HIGH CENTER TOURS, C.A.";"";"Tel: (58) (251) 2543752";"Multicentrolos leones, Local 12.detraz del impulso Barquisimeto, Venezuela";"Medios De Transporte"
"COOPERATIVA DE TRANSPORTE GAUYANA CENTRO";"";"Tel: (58) (246) 3964841";"Zona Industrial Corinsa, Av. Marcos Veracasa, C.Comercial Agamar, Piso 1, Local P. A-10 San Juan de Los Morros, Venezuela";"Medios De Transporte"
"TRANSPORTE TEIDE S.R.L.";"";"Tel: (58) (212) 5456941";"2da Trasv Las Flores De Pte Hierro Loc No 28 Caracas Caracas, Venezuela";"Medios De Transporte"
"VIAJES TRANSPACIFIC, C.A.";"";"Tel: (58) (281) 2695279";"Av. Municipal, C.C. Gran Parada Pb. Local 1, Puerto La Cruz Puerto de  la Cruz, Venezuela";"Medios De Transporte"
"SCHENKER, C.A.";"";"Tel: (58) (212) 7533422";"Av. Suapure, Cnas de Bello Monte Caracas, Venezuela";"Medios De Transporte"
"SERVICIOS MERCURY";"";"Tel: (58) (212) 4146840";"Cl. Cinaruco, El Marqués Caracas, Venezuela";"Medios De Transporte"
"MUDANZAS MOVICARGA";"";"Tel: (58) (212) 6150978";"Av Los Jabillos #98 Dignal Al Banco De Venezuela A 50 Mts De La Av Ppal E l Cementerio Caracas, Venezuela";"Medios De Transporte"
"AGENCIA DE VIAJES VIR- RUBEN, C.A.";"";"Tel: (58) (261) 7974821";"Dr. Portillo Maracaibo, Venezuela";"Medios De Transporte"
"PIRAÑA TOURS, C.A.";"";"Tel: (58) (286) 9227748";"Av. Guayana Hotel Intercontinental, Pb, Loc.1 Ciudad Guayana Puerto Ordaz, Venezuela";"Medios De Transporte"
"VIAJES Y TURISMO TUPAHUE";"";"Tel: (58) (212) 2346161";"Av. Fco. de Mda. Ctro Emp. Don Bosco, Pb, Lc.10. Los Ruices Caracas, Venezuela";"Medios De Transporte"
"MID - AMERICA OVERSEAS DE VENEZUELA, C.A.";"";"Tel: (58) (212) 7610728";"AV. Francisco Solano López con calle la Iglesia, torre centro solano plaza piso 3. Ofc. 3C y 3D sabana Grande Caracas, Venezuela";"Medios De Transporte"
"BUS VEN C.A.";"";"Tel: (58) (261) 6330271";"La Bandera, Taquilla No. 8 Maracaibo, Venezuela";"Medios De Transporte"
"TRANPORTE EL GUANCHE CANARIO";"";"Tel: (58) (212) 5773027";"Caracas Caracas, Venezuela";"Medios De Transporte"
"DICITRAVEL, C.A.";"";"Tel: (58) (295) 2629947";"Av. Jovito Villalba, Los Robles Porlamar, Venezuela";"Medios De Transporte"
"ASOCIACIÓN DE AUTOS LIBRES LINEAS UNIFICADAS";"";"Tel: (58) (274) 2635335";"Av. Las Américas Mérida, Venezuela";"Medios De Transporte"
"OCEANSIDE, C.A";"";"Tel: (58) (212) 2679764";"C.c San Ignacio, N Blandin La Castellana Caracas, Venezuela";"Medios De Transporte"
"AGENCIAS DE VIAJES AYMARA, C.A.";"";"Tel: (58) (274) 2635231";"C.C. El Rodeo Local 12,`Piso 1 Av. Las Americas Mérida, Venezuela";"Medios De Transporte"
"MONTAJES TAGAR C.A";"";"Tel: (58) (212) 2567293";"Av. Francisco De Miranda Petare Caracas, Venezuela";"Medios De Transporte"
"ALFACARGA MAQUINARIAS C.A.";"";"Telefax: (58) (241) 8080886";"Zona Industrial Norte, Av Henry Ford,Parcelas B1-B Las Caracaritas, Via A eropuerto Valencia, Venezuela";"Medios De Transporte"
"ESPARTA TOURS, C.A.";"";"Tel: (58) (295) 2644558";"Av. Santiago Mariño Porlamar, Venezuela";"Medios De Transporte"
"TRANSPORTACIÓN TRONCHI, S.R.L.";"";"Tel: (58) (291) 6428941";"Av. J Tadeo Monagas, Nro. 17 Vía La Pica Maturín, Venezuela";"Medios De Transporte"
"EXPRESOS LOS LLANOS, C.A.";"";"Tel: (58) (276) 3476920";"Carrera 10 No. 2-109 El Carmen- La Concordia San Cristóbal, Venezuela";"Medios De Transporte"
"VENZOLANA DE TRAILERS, C.A.";"";"Tel: (58) (282) 7517994";"Anaco Anaco, Venezuela";"Medios De Transporte"
"GRUAS TOLEDO";"";"Tel: (58) (251) 4426691";"El Sisal Barquisimeto, Venezuela";"Medios De Transporte"
"GRÚAS PLASEN, C.A.";"";"Tel: (58) (212) 9455913";"Calle San Miguel, La Trinidad, Caracas Caracas, Venezuela";"Medios De Transporte"
"TRANSPORTE C. COLON O. M. S.A.";"";"Tel: (58) (212) 4845715";"Esq. El Luzon, El Calvario Caracas, Venezuela";"Medios De Transporte"
"TRANSPORTES TACH & MER";"";"Tel: (58) (212) 5780683";"Av Rios A Vargas, San Agustin Caracas, Venezuela";"Medios De Transporte"
"GRUAS ABC, C.A.";"";"Tel: (58) (212) 27153360";"Los Naranjos, El Cafetal Caracas, Venezuela";"Medios De Transporte"
"GOLD PLAN C.A";"";"Tel: (58) (241) 3164633";"Valencia - Venezuela Valencia, Venezuela";"Medios De Transporte"
"TEAM TRANSPORTE GOLAR C.A.";"";"Tel: (58) (212) 4145863";"Av.Ppal de Playa grande, diagonal a la Real Delfines Catia La Mar, Edo.Va rgas Caracas, Venezuela";"Medios De Transporte"
"AGENCIA DE VIAJES VENUS, C.A.";"";"Tel: (58) (261) 7978608";"Avenida 4, Bella Vista Maracaibo, Venezuela";"Medios De Transporte"
"TRANSPORTE 3T LTD";"";"Tel: (58) (241) 8716371";"Zona Ind Castillito Valencia, Venezuela";"Medios De Transporte"
"IMPORTADORA AUTOMOTRIZ HS.3030 C.A";"";"Tel: (58) (212) 3230023";"Av Barlovento Frente A La Plaza Higuerote Municipio Brion Edo. Miranda Caracas, Venezuela";"Medios De Transporte"
"AS TOURS";"";"Tel: (58) (295) 8087944";"Cl.Ortega, Porlamar Porlamar, Venezuela";"Medios De Transporte"
"AGENCIA DE VIAJES Y TURISMO DREAM FLY, C.A.";"";"Tel: (58) (241) 8257458";"Camoruco-Valencia Valencia, Venezuela";"Medios De Transporte"
"BRUNO TRAVEL, C.A.";"";"Tel: (58) (241) 8250182";"Av. Carlos Sanda, Nro.101-263 Camoruco Valencia, Venezuela";"Medios De Transporte"
"GRUPO GLOBAL VIAJES BOULTON";"";"Tel: (58) (212) 2010838";"Caracas Caracas, Venezuela";"Medios De Transporte"
"UPS TRANSVALCAR";"";"Tel: (58) (212) 3312023";"Cl. Real, Maiquetía Caracas, Venezuela";"Medios De Transporte"
"CITCA VIAJES Y TURISMO, C.A.";"";"Tel: (58) (251) 2522234";"Urbanización Nueva Segovia Cr 01,E/Cl.5 y 6 Nueva Segovia Barquisimeto, Venezuela";"Medios De Transporte"
"SUPRELCA";"";"Telefax: (58) (212) 9514431";"Av Fco De Miranda, Edf. Seguros Sudamérica, Piso No. 2, Oficina 2-C El Rosal Caracas, Venezuela";"Medios De Transporte"
"AGENCIA DE VIAJES EUROPA, C.A.";"";"Tel: (58) (261) 7521184";"Paraiso Maracaibo, Venezuela";"Medios De Transporte"
"TRANSPORTES DIAZ, C.A.";"";"Tel: (58) (241) 6196034";"Calle Lopez Valencia, Venezuela";"Medios De Transporte"
"CUBANA DE AVIACION , S.A";"";"Tel: (58) (212) 2868639";"Av Andres Bello Edif Atlántic, P 4 Of No 5 Y 6 Los Palos Grandes Caracas, Venezuela";"Medios De Transporte"
"VENEZOLANA RUTAS AEREAS DE VENEZUELA RAV S.A";"";"Tel: (58) (212) 9517424";"Caracas Caracas, Venezuela";"Medios De Transporte"
"TRANSPORTE DOMENICOL, S.A.";"";"Tel: (58) (243) 2378891";"San Agustin Maracay, Venezuela";"Medios De Transporte"
"BENECAR C.A.";"";"Tel: (58) (276) 7717725";"Carrera 2 No.-31 Barrio Ocumare San Antonio del Táchira, Venezuela";"Medios De Transporte"
"'LARA' R.L.";"";"Telefax: (58) (251) 2690589";"Av. las Industrias.Zona Industrial lll a 100mts de compresores Vaf Barquisimeto, Venezuela";"Medios De Transporte"
