"ACADEMIA DE BELLEZA KISMET";"";"Tel: (58) (212) 2659143";"Av Fco De Miranda Edif Los Llanos, Chacao Caracas, Venezuela";"Academia De Belleza"
"MANRTENIMIENTO, LIMPIEZA Y CONSTRUCCIONES JOPALIM, S.A";"";"Tel: (58) (212) 7615361";"C C El Recreo Tr Sur, Piso 4,Of 4-4, Av Casanova Con Cl El Recreo, Sabana Grande Caracas, Venezuela";"Limpieza Industrial"
"SERVICIOS MIMADI";"";"Tel: (58) (251) 2527923";"Cr. 17 Barquisimeto, Venezuela";"Limpieza Industrial"
"CORPORACIÊN QMV, S.A.";"";"Tel: (58) (212) 9920089";"Caracas Caracas, Venezuela";"Limpieza Industrial"
"SERVICIOS A.WETTER, C.A.";"";"Tel: (58) (212) 2688766";"Calle Central, No 4-4, Entre Av. intercomunal y Ruiz Pineda Caracas, Venezuela";"Limpieza Industrial"
"RODASERVI C.A";"";"Tel: (58) (212) 2436842";"Av Ppal De La Urbina Tr Olympia PH A Caracas, Venezuela";"Limpieza Industrial"
"CHEM CRES INC, C.A.";"";"Tel: (58) (212) 7491101";"Calle 15-K 15-J, C.C. Viento Norrte Planta Alta, Local 3, Canaima Caracas, Venezuela";"Limpieza Industrial"
"LABORATORIO VIRG-VALLE";"";"Tel: (58) (212) 2388986";"El Guire Sta Fe Caracas, Venezuela";"Limpieza Industrial"
"GLOBAL CLEANERS DE VENEZUELA C.A";"";"Tel: (58) (241) 8717179";"Zona Ind Castillito Valencia, Venezuela";"Limpieza Industrial"
"MONA INDUSTRIAS DE VENEZUELA";"";"Tel: (58) (212) 9637855";"Av. Sur Ctro. Empresarial La Lagunita, C. Club - Caracas Caracas, Venezuela";"Limpieza Industrial"
"FERINCA";"";"Tel: (58) (212) 9444198";"Av. San Sebastian C.C. Cl. BolÙvar, Edif. Gra-mer SÊtano, Local 2 Caracas, Venezuela";"Limpieza Industrial"
"EXPORT IMPORT MARGARITA";"";"Telefax: (58) (295) 9592148";"Calle Antonio Diaz Colina el Vigia Pampatar, Venezuela";"Lonja Y Finca Raiz"
"EUROPET, C.A.";"";"Tel: (58) (243) 5516933";"Maracay- Edo Aragua Galpon Nro.2 Parcela 7 Calle Gustavo Dalen Zona Indu strial. La Hamaca Maracay, Venezuela";"Lonja Y Finca Raiz"
"FAVEMOCA C.A";"";"Telefax: (58) (212) 8942051";"Carr Vieja Tocuyito Sector La Guasima No 190 Caracas, Venezuela";"Lonja Y Finca Raiz"
"INVERSIONES KREATA'S, C.A.";"";"Tel: (58) (212) 9854032";"El Cafetal Caracas, Venezuela";"Lupas"
"MAICA";"";"Tel: (58) (293) 4331395";"Sc Puerto Sucre Av Bermudez Cumaná, Venezuela";"Maicena"
"INDUSTRIAS MARANGAMA C.A";"";"Tel: (58) (212) 3440514";"Guatire Guatire, Venezuela";"Mangueras Industriales"
"SOLMAGAS GUIRIA, S.A.";"";"Tel: (58) (294) 9820453";"Calle Valdez, Nro 38 Güira , Venezuela";"Mangueras Industriales"
"INVERSIONES TUVEN 2010, C.A.";"";"Tel: (58) (212) 7155570";"Guarenas Guarenas, Venezuela";"Manómetros"
"VÁLVULAS Y CONEXIONES 2000";"";"Telefax: (58) (245) 5650030";"Guacara Guacará, Venezuela";"Manómetros"
"CASA LOVERA, C.A.";"";"Tel: (58) (212) 5457311";"Esq. Cruz Verde, Santa Teresa Caracas, Venezuela";"Manómetros"
"TECMEQUIP C.A";"";"Telefax: (58) (212) 2621125";"Av. José Felix Sosa Bello Campo Edif Vides Pb Caracas, Venezuela";"Manómetros"
"CASA DEL MANÓMETRO";"";"Tel: (58) (212) 7532214";"Colinas De Bello Monte Caracas, Venezuela";"Manómetros"
"REDIMAK, C.A.";"";"Tel: (58) (243) 5517812";"San Vicente II Maracay, Venezuela";"Mantenimiento De Bombas Para Agua"
"AGUA POR PARKO";"";"Telefax: (58) (243) 2593750";"C/Este La Morita, Maracay, Aragua Maracay, Venezuela";"Mantenimiento De Bombas Para Agua"
"CONSULRIMA SERVICIOS, C.A";"";"Tel: (58) (212) 4838186";"Av Jose A, Paéz Centro Porfesio al Paraiso, Piso 4,Of 401 El Paraiso Cara cas Caracas, Venezuela";"Mantenimiento De Jardines Y Zonas Verdes"
"MIL PLANTAS DECORACIONES C.A";"";"Tel: (58) (212) 5628263";"Esq. Animas La Candelaria Caracas, Venezuela";"Mantenimiento De Jardines Y Zonas Verdes"
"GRUPO DESDE TU JARDIN C.A";"";"Tel: (58) (212) 6617502";"Cl. Semprum Qta Yamile Santa Mónica Caracas, Venezuela";"Mantenimiento De Jardines Y Zonas Verdes"
"JARINES FERBANS C.A";"";"Tel: (58) (212) 7106124";"Av. Ppal De Los Naranjos Caracas, Venezuela";"Mantenimiento De Jardines Y Zonas Verdes"
"REFORESTADORA MIRANDA C.A";"";"Tel: (58) (212) 9532694";"Av. Francisco De Miranda Caracas, Venezuela";"Mantenimiento De Jardines Y Zonas Verdes"
"INDUSERVI, C.A";"";"Tel: (58) (212) 2387503";"Urb Campo Claro Av Uno La Cariota Qta Marver Diag Al Colegio Francia Caracas, Venezuela";"Mantenimiento De Jardines Y Zonas Verdes"
"POTARECA - PODA TALA Y REFORESTACIÓN C.A";"";"Tel: (58) (212) 4618760";"Av. Washington C.R.E.P Torre 4b No 31 Caracas, Venezuela";"Mantenimiento De Jardines Y Zonas Verdes"
"REFORESTACIONES HERMANOS RODRIGUEZ C.A";"";"Tel: (58) (212) 7632768";"Av. Venezuela Bello Monte Caracas, Venezuela";"Mantenimiento De Jardines Y Zonas Verdes"
"AGRO CYCAS DE VENEZUELA C.A";"";"Tel: (58) (212) 9637271";"Caracas El Hatillo Caracas, Venezuela";"Mantenimiento De Jardines Y Zonas Verdes"
"HOLISTICO MANTENIMIENTO C.A";"";"Tel: (58) (212) 3627156";"Caracas Caracas, Venezuela";"Mantenimiento De Jardines Y Zonas Verdes"
"ZEMERATH";"";"Tel: (58) (212) 7539782";"Av.Ppal.Bello Monte, C.C.Bello Monte, Mezz.1, Ofic.12 Caracas, Venezuela";"Mantenimiento De Jardines Y Zonas Verdes"
"JARDIN EL ARAGUANEY C.A.";"";"Tel: (58) (261) 7579651";"Al Lado del Centro Comercial El Sambil Sector Canchancha Maracaibo, Venezuela";"Mantenimiento De Jardines Y Zonas Verdes"
"PIÑA MUSICAL,C.A.";"";"Tel: (58) (212) 9598794";"Ccct-Caracas Centro- Caracas Caracas, Venezuela";"Mantenimiento Y Reparacion De Instrumentos Musicales"
"CASA MUSICAL MEZQUITE";"";"Tel: (58) (212) 5414702";"Av Sur O Santa Teresa Caracas, Venezuela";"Mantenimiento Y Reparacion De Instrumentos Musicales"
"PIEDRAHITA, JULIO C.";"";"Tel: (58) (241) 8231573";"La Manguita Valencia, Venezuela";"Mantenimiento Y Reparacion De Instrumentos Musicales"
"JAVECOL, S.A.";"";"Tel: (58) (212) 5536412";"Cl.G.Zona Industrial San Vicente Caracas, Venezuela";"Maquinaria Y Equipo"
"SAGOLA DE VENEZUELA";"";"Tel: (58) (212) 2864244";"Av Sucre, Los Dos Caminos Caracas, Venezuela";"Maquinaria Y Equipo"
"MONTOYA, KOCIECKI & ASOCIADOS";"";"Tel: (58) (212) 2837314";"Av.Francisco De Miranda Edif.Parque Cristal, Torre Oeste, P.3, Of.13-6 Caracas, Venezuela";"Marcas Y Patentes"
"CELEXFRE Y ASOCIADOS";"";"Tel: (58) (212) 5458175";"Av.Lecuna, Torre Profesional Del Centro, P.9 Of.902 Caracas, Venezuela";"Marcas Y Patentes"
"GONZALEZ VILLALOBOS INTERNATIONAL";"";"Tel: (58) (212) 9529564";"Bello Monte Caracas, Venezuela";"Marcas Y Patentes"
"RODRÍGUEZ G, PEDRO R. DR.";"";"Tel: (58) (251) 2336340";"Edif Fundacomun Ofc 4i Barquisimeto, Venezuela";"Marcas Y Patentes"
"HOTEL RESTAURANT MARISCO,C.A.";"";"Tel: (58) (261) 7914646";"Calle 82 Con Av. 3 H San Martín Maracaibo, Venezuela";"Mariscos"
"ADORNOS TONY, C.A.";"";"Tel: (58) (241) 8588269";"Vargas Y Rpndon Av. Bolivar Centro Valencia, Venezuela";"Materias Primas Para La Industria Textil"
"ADORNOD MARIGOY, C.A.";"";"Tel: (58) (245) 5641089";"Av. Bolivar Guacará, Venezuela";"Materias Primas Para La Industria Textil"
"LYMTEX, C.A.";"";"Tel: (58) (212) 4514848";"Empedrado A Matadero Edif. Marly, San Martín Caracas, Venezuela";"Materias Primas Para La Industria Textil"
"TEJIDOS SUPERPUNTO";"";"Tel: (58) (212) 5627504";"Socarrás a Puente Yanéz, Edif. Torre Olimpico-PB -La Candelaria. Caracas, Venezuela";"Materias Primas Para La Industria Textil"
"DAI DOUMO, C.A.";"";"Tel: (58) (241) 8596525";"Cl Independencia C.C. El Doumo. Loc. 3-4 Valencia, Venezuela";"Materias Primas Para La Industria Textil"
"LOS HILOS S.R.L.";"";"Tel: (58) (281) 2861109";"C.C. Vista Mar Lecherías, Venezuela";"Materias Primas Para La Industria Textil"
"DISEÑOS JUVI";"";"Tel: (58) (212) 4518585";"Av. Principal De Las Fuentes Qta. Hilda El Paraíso Caracas Caracas, Venezuela";"Materias Primas Para La Industria Textil"
"DISTRIBUIDORA TEXTICENTRO";"";"Tel: (58) (243) 2327993";"Av. Bolivar Este Maracay, Venezuela";"Materias Primas Para La Industria Textil"
"REPRESENTACIONES CARLI2005 C.A";"";"Tel: (58) (212) 8613546";"La Pastora Caracas, Venezuela";"Materias Primas Para La Industria Textil"
"COMERCIAL MARA S.A.";"";"Tel: (58) (261) 7230977";"Las Pulgas Maracaibo, Venezuela";"Materias Primas Para La Industria Textil"
"CORPORACION GRUPO DAI C.A";"";"Tel: (58) (212) 4711033";"Av Intercomunal De Antimano La Yaguara Caracas, Venezuela";"Materias Primas Para La Industria Textil"
"ADORNOS BEPI S.R.L.";"";"Tel: (58) (212) 2717209";"Av F De Miranda El Marquez Caracas, Venezuela";"Materias Primas Para La Industria Textil"
"TEJIDOS DE PUNTO FOGEL, C.A.";"";"Tel: (58) (212) 4713219";"Av Ppal. La Yaguara Caracas, Venezuela";"Materias Primas Para La Industria Textil"
"INVERSIONES EXTRAFINA SAC,C.A.";"";"Tel: (58) (212) 5649766";"Av.Este 1 Sur 7,La Candelaria Caracas, Venezuela";"Materias Primas Para La Industria Textil"
"CIPRI'S";"";"Tel: (58) (212) 3414184";"Cl 9 De Diciembre Caracas, Venezuela";"Materias Primas Para La Industria Textil"
"MERCERIA Y ALGO MAS";"";"Tel: (58) (212) 9939213";"C.C Paseo Las Mercedes Pb Caracas, Venezuela";"Materias Primas Para La Industria Textil"
"GANGAS TABARATO";"";"Tel: (58) (212) 8721758";"Av Simon Bolivar Propatria Caracas, Venezuela";"Materias Primas Para La Industria Textil"
"TEXTILERA SANSON C.A";"";"Tel: (58) (212) 8605448";"Esq. Puerta De Caracas Edif. Sanson,Pb Local 193-1 Caracas Caracas, Venezuela";"Materias Primas Para La Industria Textil"
"MERCERIA DECO TODOS S.R.L.";"";"Tel: (58) (212) 2615798";"Ctro Metropolitano Chacao Caracas, Venezuela";"Materias Primas Para La Industria Textil"
"DISTRIBUIRDORA MELILLA C.A";"";"Tel: (58) (212) 5648716";"Av Norte Catedral Caracas, Venezuela";"Materias Primas Para La Industria Textil"
"EL BUQUET DE LA NOVIA";"";"Tel: (58) (276) 3411055";"Centro San Cristóbal, Venezuela";"Materias Primas Para La Industria Textil"
"COPIEL, C.A.";"";"Tel: (58) (276) 3434237";"Quinta Ana F-31, Av Cuatricentenaria San Cristóbal, Venezuela";"Materias Primas Para La Industria Textil"
"MI MERCERIA PINEDA";"";"Tel: (58) (286) 9626973";"Av. Paseo Caroni, Alta Vista Ciudad Guayana Puerto Ordaz, Venezuela";"Materias Primas Para La Industria Textil"
"TEXTILES JBOOM,C.A.";"";"Tel: (58) (212) 6320804";"El Cementerio Caracas, Venezuela";"Materias Primas Para La Industria Textil"
"MI PEQUEÑO COSTURERO, S.A.";"";"Tel: (58) (261) 7423218";"Avenida 15, Las Delicias Norte Maracaibo, Venezuela";"Materias Primas Para La Industria Textil"
"TEJIDOS LAMAS H, C.A.";"";"Tel: (58) (212) 5321006";"Cl.Conj.Ind.del Este,Filas de Mariche Caracas, Venezuela";"Materias Primas Para La Industria Textil"
"FERRETERIA CARACAS, S.A.";"";"Tel: (58) (212) 5416824";"Pquia Santa Teresa Caracas, Venezuela";"Materias Primas Para La Industria Textil"
"INDUSTRIAS SUEVITEX, C.A.";"";"Tel: (58) (212) 6316791";"Av.Nueva Granada, Las Acacias Caracas, Venezuela";"Materias Primas Para La Industria Textil"
"INVERSIONES CAROL CAS,C.A.";"";"Tel: (58) (212) 5619553";"La Candelaria - Caracas Caracas, Venezuela";"Materias Primas Para La Industria Textil"
"PIELES MERIDA, C.A.";"";"Telefax: (58) (212) 2383080";"Av.B Con Ppal.Edif.Normandie La Carlota Caracas, Venezuela";"Materias Primas Para La Industria Textil"
"CONFECCIONES PRISO C.A";"";"Tel: (58) (212) 5418033";"Salvador De León A Coliseo Edif. Almacenes Del Centro 2 Piso Local Este Caracas, Venezuela";"Materias Primas Para La Industria Textil"
"CHARLES C.A";"";"Telefax: (58) (282) 2691233";"Z.I La Morita Cll. Las Industrias Av. Interc Maracay Edo Aragua Aragua de Barcelona, Venezuela";"Materias Primas Para La Industria Textil"
"DISTRIBUIDORA BEATRIZ, C.A.";"";"Tel: (58) (212) 2358556";"Av. 1ra, Los Ctjos de Lourdes Caracas, Venezuela";"Materias Primas Para La Industria Textil"
"DISTRIBUIDORA FENIX";"";"Tel: (58) (212) 5640501";"Marrón a Cuji,Catedral - Frente al Bod Caracas, Venezuela";"Materias Primas Para La Industria Textil"
"DECORACIONES FERRARA, C.A.";"";"Tel: (58) (241) 8577026";"Av. Montes De Oca, San Jose, Diagonal A La Iglesia San Jose Valencia, Venezuela";"Materias Primas Para La Industria Textil"
"LAFAYETTE";"";"Tel: (58) (212) 5643791";"Av. Urdaneta Centro Financiero Latino Piso 14 Of. 01 Caracas Caracas, Venezuela";"Materias Primas Para La Industria Textil"
"TECNOMEDICA";"gerencia@tecnomedicacolombia.";"Cel.: (58) 3147328626";"Atiende en Villa Del Rosario desde su sede principal en Medellín Villa del Rosario, Venezuela";"Medicamentos A Domicilio"
"OXIGENOS MARICHE CA";"";"Tel: (58) (212) 5322007";"Centro Comercial Los Diaz. Local 4, Km 6, Filas de Mariches, Edo. Miranda Filas de Mariche, Venezuela";"Medicamentos A Domicilio"
"LABORATORIO ORTOPEDICO WILLIAMS, C.A.";"";"Tel: (58) (251) 2542458";"Av. Madrid, C.C. Alta, Local No. 29, 2ú Piso, Al Lado Del Policlínico, Barquisimeto Edo. Lara Barquisimeto, Venezuela";"Medicamentos A Domicilio"
"CONDIAGA";"";"Tel: (58) (273) 7755912";"Centro Barinas, Venezuela";"Medicamentos A Domicilio"
"DROGUERÍA FARMA - MISTICA, C.A.";"";"Tel: (58) (243) 2422012";"Av. Principal, La Arboleda Maracay, Venezuela";"Medicamentos A Domicilio"
"DIGASMAPOR";"";"Tel: (58) (255) 6624160";"Av. 27 Entre Calles 4 Y 5, Barrio Bolivar Acarigua, Edo. Portuguesa Acarigua, Venezuela";"Medicamentos A Domicilio"
"DROGERIA DISRACA, C.A.";"";"Telefax: (58) (212) 4517321";"Av. Jose Antonio Páez, ElParaíso Caracas, Venezuela";"Medicamentos A Domicilio"
"DROBIOCA";"";"Tel: (58) (276) 3436409";"Cl. 16, La Romera San Cristóbal, Venezuela";"Medicamentos A Domicilio"
"DROGUERIA VICARSA, C.A.";"";"Tel: (58) (276) 3568249";"Barrio Obrero San Cristóbal, Venezuela";"Medicamentos A Domicilio"
"DROGUERIA GENERICA, C.A.";"";"Tel: (58) (285) 6322910";"Av. Siegert, Edif. Centro Médico Orinoco Local 1 Ciudad Bolivar, Venezuela";"Medicamentos A Domicilio"
"DROGERÍA MORET 2001, C.A.";"";"Tel: (58) (212) 3236355";"Cl. Sucre, Los Teques Los Teques, Venezuela";"Medicamentos A Domicilio"
"DROGUERÍA CIARLEN, C.A.";"";"Tel: (58) (212) 6938434";"Santa Mónica Caracas, Venezuela";"Medicamentos A Domicilio"
"DROMINCA";"";"Tel: (58) (212) 6629420";"Av. Neverí, C.C. Los Chaguaramos, Torre De Ofic. Piso 16, Ofic. 16-10-B Caracas, Venezuela";"Medicamentos A Domicilio"
"DROGUERIA SOLUMEDIC C.A.";"";"Tel: (58) (276) 7112928";"Barrio Obrero, Carrera 20 entre Calles 10 y 11 pasaje Acueducto, Edificio La India, San Cristobal, Estado Tachira San Cristóbal, Venezuela";"Medicamentos A Domicilio"
"RG MÉDICA";"";"Tel: (58) (286) 9235007";"Prolongación Av. Las Americas Edif. Rocatex Ciudad Guayana Puerto Ordaz, Venezuela";"Medicamentos A Domicilio"
"OXIGENOS MARICHE C.A. - AGA";"";"Tel: (58) (212) 5322007";"Centro Cial., Los Díaz, Local 4, Km6,Filas de Mariches, Edo. Miranda Caracas, Venezuela";"Medicamentos A Domicilio"
"DROGUERIA MEDIHG";"";"Tel: (58) (251) 5253951";"Av. Libertador Con Calle 19 Zona Ind. I C.C. Industrial Libertador Local 8-A Barquisimeto, Venezuela";"Medicamentos A Domicilio"
"OXIGENO DEL OESTE,C.A.";"";"Tel: (58) (212) 6621419";"Valle Abajo Caracas, Venezuela";"Medicamentos A Domicilio"
"DROGUERÍA SUIZA, C.A.";"";"Tel: (58) (241) 8585427";"CI. Marique, La Candelaria Valencia, Venezuela";"Medicamentos A Domicilio"
"DROGUESUR DROGUERIA MEDICA DEL SUR";"";"Tel: (58) (276) 7355755";"Av. 10 Esq. Calle 20, N³ 20-21, Loc 2. Sierra Maestra San Cristóbal, Venezuela";"Medicamentos A Domicilio"
"STORE MED SM C.A.";"";"Tel: (58) (212) 2372492";"Av. Rómulo Gallegos, Edif. El Tránsito, Locales C Y D, Frente A Silenciad ores Caroní Boleíta, Caracas - Venezuela Caracas, Venezuela";"Medicamentos A Domicilio"
"OXIGENO TOCUYITO, C.A.";"";"Tel: (58) (241) 8530105";"Los Chorritos Valencia, Venezuela";"Medicamentos A Domicilio"
"DISTRIBUIDORA FARMACEUTICA LA CRUZ";"";"Tel: (58) (291) 6520922";"Av. Bella Vista, Conjunto Ind. La Cruz Galpón No. 6 Maturín, Venezuela";"Medicamentos A Domicilio"
"ERNESTO PEREZ CH, C.A.";"";"Tel: (58) (251) 4456659";"Av. Rómulo Gallegos, No. 28-49 Entre Carreras 29 Y 30 Barquisimeto Barquisimeto, Venezuela";"Medicamentos A Domicilio"
"OXI-PLANT 2000 CA";"";"Tel: (58) (212) 3617305";"Ruiz Pineda Guarenas Caracas, Venezuela";"Medicamentos A Domicilio"
"OXICAR TUY C.A";"";"Tel: (58) (212) 2481924";"Cl E Zona Ind Rio Tuy Caracas, Venezuela";"Medicamentos A Domicilio"
"DROSANCA DROGUERIA SAN CRISTÓBAL C.A.";"";"Tel: (58) (276) 3478155";"Av. Lucio Oquendo, Edif. Europa, Loc. B San Cristóbal, Venezuela";"Medicamentos A Domicilio"
"OXIGENO SAN MARTIN S.R.L.";"";"Tel: (58) (212) 5432636";"L Flores Pte Hierro Caracas Caracas, Venezuela";"Medicamentos A Domicilio"
"LOCATEL";"";"Tel: (58) (212) 2034433";"Caracas Caracas, Venezuela";"Medicamentos A Domicilio"
"MATERIALES FORT CA";"";"Tel: (58) (282) 4552333";"Av Bolivar Numero 108 Cantaura, Venezuela";"Medicamentos A Domicilio"
"FARMACIA LIBERTAD, C.A.";"";"Tel: (58) (295) 2637755";"Dentro de la Clinica Libertad CI Libertad Porlamar, Venezuela";"Medicamentos A Domicilio"
"OXIGENO Y GASES LOS TEQUES, C.A.";"";"Tel: (58) (212) 3833422";"Cl.Principal Carrizal Caracas, Venezuela";"Medicamentos A Domicilio"
"SANHER GASES, C.A.";"";"Telefax: (58) (241) 8355990";"El Prado Valencia, Venezuela";"Medicamentos A Domicilio"
"DRODINICA DROGUERIA DIVINO NIÑO C.A.";"";"Telefax: (58) (276) 3567133";"Calle 12, Entre Carreras 22 y 23, Barrio Obrero, N³ 22-58, San Cristóbal - Edo. Táchira San Cristóbal, Venezuela";"Medicamentos A Domicilio"
"DIGECA";"";"Tel: (58) (273) 7981665";"Av. 13a Con Calle 67 Edf. LaOrquidea, Pb, Loc 1 Central Telefonica Barinas, Venezuela";"Medicamentos A Domicilio"
"INVERSIONES FLUIDOTEC C.A.";"";"Tel: (58) (212) 2574989";"Av. Principal, Macaracuay Caracas, Venezuela";"Medicamentos A Domicilio"
"ALQUIMED C.A.";"";"Tel: (58) (212) 2345456";"3ra. Tv, No. 13-18, Boleíta Sur, Caracas Caracas, Venezuela";"Medicamentos A Domicilio"
"DROGUERÍA SAN JORGE, C.A.";"";"Tel: (58) (243) 2423794";"CI. Puente Nuevo, El Castaño Maracay, Venezuela";"Medicamentos A Domicilio"
"UNIDAD PEDIATRICA DEL ESTE";"";"Tel: (58) (251) 2543666";"Edif. Tulipan, Piso 1, Consultorio Nú 2 Nueva Segovia Barquisimeto, Venezuela";"Medicina Familiar"
"VITAL SALUD ADMINIST DE PLANES DE SALUD C.A.";"";"Tel: (58) (212) 7135200";"Av. La Estancia, C.C.C.T. Segunda Etapa, Torre A, Piso 9, Ofic. A-903, Ch uao, Caracas Caracas, Venezuela";"Medicina Prepagada"
"CORPORACIÓN REGEST C.A.";"";"Tel: (58) (212) 6076566";"Altamira Caracas, Venezuela";"Mercadeo E Investigacion De Mercados"
"MERCEDES HERCULES & ASOCIADOS C.A";"";"Tel: (58) (212) 9533803";"Edif Folgana Piso 4 Of 4-A Caracas, Venezuela";"Mercadeo E Investigacion De Mercados"
"TROLK, C.A";"";"Tel: (58) (212) 2396310";"Av Don Diego Cisneros Los Ruices Caracas, Venezuela";"Mercadeo E Investigacion De Mercados"
"OUTSOURCE GROUP";"";"Tel: (58) (212) 9091200";"Cl La Guairtia Chao Centro ProfesionalEurobullding Piso 6 Of 6-A Caracas Venezuela Caracas, Venezuela";"Mercadeo E Investigacion De Mercados"
"CULTURA GRUPO CREATIVO";"";"Tel: (58) (243) 8240182";"C.C.Beverly Center,piso 2. µoficina 9,El Viñedo Maracay, Venezuela";"Mercadeo E Investigacion De Mercados"
"MARACUCCI & ASOCIADOS INVESTIGACION DE MERCADO C.A";"";"Tel: (58) (212) 2354775";"Av Romulo Gallegos Boleita Norte Caracas, Venezuela";"Mercadeo E Investigacion De Mercados"
"CNI SOCIEDAD DE CORRETAJE DE VALORES, C.A.";"";"Tel: (58) (212) 2866683";"Av. Fco. De Miranda, Palos Grandes Caracas, Venezuela";"Mercadeo E Investigacion De Mercados"
"MARKETING ESTRATETGICO C.A";"";"Tel: (58) (212) 6629782";"C.C Los Chaguaramos Caracas, Venezuela";"Mercadeo E Investigacion De Mercados"
"EMEVENCA ESTRATEGIAS DE MERCADEO Y VENTAS C.A";"";"Tel: (58) (212) 7811049";"Av Libertador Las Palmas Caracas, Venezuela";"Mercadeo E Investigacion De Mercados"
"DATANALISIS C.A";"";"Tel: (58) (212) 7941993";"Av Las Acacias Sabana Grande Tr La Previsora P 16 Caracas, Venezuela";"Mercadeo E Investigacion De Mercados"
"ESTUDIOS SCANNING C.A";"";"Tel: (58) (212) 2399202";"Los Ruices Caracas Caracas, Venezuela";"Mercadeo E Investigacion De Mercados"
"CONSUMER NEED C.A";"";"Tel: (58) (212) 5645238";"Altagracia Caracas, Venezuela";"Mercadeo E Investigacion De Mercados"
"STAT MARK";"";"Tel: (58) (212) 2857054";"Caracas Venezuela Av Fco De Miranda Urb Los Palos Grande Centro Plaza Tr A Piso 18 Of H Caracas, Venezuela";"Mercadeo E Investigacion De Mercados"
"C.A MARIA LLLORENS";"";"Tel: (58) (212) 2635987";"La Castellana Caracas Caracas, Venezuela";"Mercadeo E Investigacion De Mercados"
"QUINTAL";"quintal@telcel.net.ve";"Telefax: (58) (241) 8388670";"Urbanizacion Industrial Carabobo, Transversal  Octava  Avenida Sur 1, Centro Comercial Dibeca,  Galpón No.6 Valencia, Venezuela";"Minería"
"YAMAHA VENEMARINE";"";"Tel: (58) (212) 9932490";"Calle Caroní, entre París y Madríd, Qta. Miloanto,Las Mercedes Caracas, Venezuela";"Motores Fuera De Borda"
"GRUPO 3HF C.A.";"";"Tel: (58) (212) 2427360";"Cl 8, La Urbina Caracas, Venezuela";"Motores Fuera De Borda"
"CENTRO YAMAHA DEL ZULIA, C.A.";"";"Tel: (58) (261) 7220362";"Av. 4, Bella Vista con calle 87 Maracaibo, Venezuela";"Motores Fuera De Borda"
"TEAM MARINE";"";"Tel: (58) (212) 9639639";"Av Intercomunal La Boyera-El Haltillo Sector Los Pinos, La Boyera, Carac as Caracas, Venezuela";"Motores Fuera De Borda"
"TECNIBORDA J.F C.A";"";"Tel: (58) (212) 6320568";"Edif Tecniborda Pb Av Victoria Las Acacias Caracas, Venezuela";"Motores Fuera De Borda"
"YAMASERVITUCACAS, C.A.";"";"Tel: (58) (259) 8121012";"Carretera Nacional Morón-Coro (Diagonal a la Red de CANTV),tucacas Tucacas , Venezuela";"Motores Fuera De Borda"
"EL CENTAURO";"";"Telefax: (58) (212) 5710046";"Caracas Venezuela Caracas, Venezuela";"Motores Fuera De Borda"
"YAMAORIENTE C.A";"";"Tel: (58) (212) 2872152";"Las Garzas Lecherias Caracas, Venezuela";"Motores Fuera De Borda"
"UNIVERSO ACQUAMOTOR";"";"Tel: (58) (212) 7815136";"Av Ppal Entre 6ta Y 8va Mariperez Caracas, Venezuela";"Motores Fuera De Borda"
"DISTRIBUIDORA VENEMOTOS C.A";"";"Tel: (58) (212) 2630544";"Caracas Caracas, Venezuela";"Motores Fuera De Borda"
"ALFREDO CERBONI LANCHA MOTORES Y ACCESORIOS";"";"Tel: (58) (212) 4423852";"Av La Paz El Paraiso Caracas, Venezuela";"Motores Fuera De Borda"
"VENEMARINE";"";"Tel: (58) (239) 9937392";"Cl Caroni Entre Paris Y Madrid Qta Miloanto Las Mercedes Santa Teresa, Venezuela";"Motores Fuera De Borda"
"INVERSIONES Y CONSTRUCCIONES SOLAR, C.A.";"";"Tel: (58) (241) 8313132";"La Florida No.94-120 Valencia, Venezuela";"Movimiento De Tierras"
"PESTALOZZI C.A";"";"Tel: (58) (212) 6936238";"A Zuloaga Los Rosales Caracas, Venezuela";"Muebles Escolares"
"PARQUES EDUPLAY C.A";"";"Tel: (58) (212) 9459433";"Cl Bolivar La Trinidad Caracas, Venezuela";"Muebles Escolares"
"INDUSTRIAS CLAMIKA C.A";"";"Tel: (58) (212) 4726796";"Av. El Comercio, GalpÊn 9 Bella Vista Caracas, Venezuela";"Muebles Escolares"
"CORPORACIÊN TRADE DOER, C.A.";"";"Tel: (58) (212) 7932017";"Torre Phelp, Piso 21, Plaza Venezuela Caracas, Venezuela";"Muebles Escolares"
"FABRICA DE MUELBES LINA C.A";"";"Tel: (58) (212) 6321889";"Av La Floresta Con Cl Trasv Cl Ciega No 38-11 Pdo De Maria Caracas, Venezuela";"Muebles Escolares"
"FABIMAR C.A.";"";"Telefax: (58) (243) 2632457";"Carrt Nacional Parcela No. 28, Cext Las Vueltas, A 800 Mts Del Viaducto L a Cabrera Maracay, Venezuela";"Muebles Escolares"
