"AUTO TALLER GRAN SASSO, S.R.L";"";"Telefax: (58) (241) 8313190";"La Candelaria Valencia, Venezuela";"Abogados - Asuntos Inmobiliarios"
"CISNEROS MARKETING";"";"Tel: (58) (243) 8583115";"Av Guzman Blanco No 103-78 Edif.Pancho Ofi 2-2 Urb Los Colorados,Valencia Edo,Carabobo Maracay, Venezuela";"Marketing"
"ORGANIZACION MARKETING MIX, C.A.";"";"Tel: (58) (212) 7615428";"Av. Solano, Torre Banvenez Plaza Venezuela Caracas, Venezuela";"Marketing"
"MARKETING ESTRATETGICO C.A";"";"Tel: (58) (212) 6629782";"C.C Los Chaguaramos Caracas, Venezuela";"Marketing"
"COSMOFOTO MARKETING C.A";"";"Tel: (58) (212) 6314823";"Av. María Teresa Toro, Edif. Siracusa P.B Local 14, Las Acacias Caracas, Venezuela";"Marketing"
"LINE & LINE MARKETING CA";"";"Tel: (58) (241) 8234710";"Av Bolivar,El Viñedo Valencia, Venezuela";"Marketing"
"DROGUERIA MARKETING Y ASOCIADOS, C.A.";"";"Telefax: (58) (281) 2749961";"Av. Cumanagoto. Edif. Marketing Barcelona, Venezuela";"Marketing"
"KRATO, C.A";"";"Tel: (58) (212) 2427020";"Cl 1, Terrazas Del Avila Caracas, Venezuela";"Materiales Y Suministros Para Encuadernación Y Terminación"
"LIBRERIA AUTONOMIA MUNICIPAL";"";"Tel: (58) (212) 3314940";"Cl Navarrete A Iglesia Loc 275, Maiquetia Caracas, Venezuela";"Materiales Y Suministros Para Encuadernación Y Terminación"
"COMERCIALIZADORA FRADUARS C.A.";"";"Tel: (58) (212) 5649208";"Av Urdaneta Esq Pelota A Punceres Edif Protexo P 1 Of 13 Caracas, Venezuela";"Materiales Y Suministros Para Encuadernación Y Terminación"
"CENTRO PROFESIONAL DE ENCUADERNACIÓN CPE";"";"Tel: (58) (281) 2861745";"Av. Intercomunal, Sector Las Garzas C.C.OS Center Planta Baja Lecherías, Venezuela";"Materiales Y Suministros Para Encuadernación Y Terminación"
"LIVRERIA LIBREMAR 2137, C.A";"";"Tel: (58) (212) 3528043";"Entre Cl 7 Y Cl 3 Caracas, Venezuela";"Materiales Y Suministros Para Encuadernación Y Terminación"
"LATINFOT, C.A.";"";"Tel: (58) (251) 2515787";"Carrera 23 Barquisimeto, Venezuela";"Materiales Y Suministros Para Encuadernación Y Terminación"
"POLIMEROS Y MINERALES, C.A. - SAFRA, C.A.";"";"Tel: (58) (212) 6333225";"Av. El Cortijo, Qta. Lucana No. 15 Los Rosales, Caracas Caracas, Venezuela";"Materias Primas Y Accesorios"
"GRUPO DÁVILA - DISTRIBUIDORA GRIS Y BRONCE, C.A.";"";"Tel: (58) (212) 3611114";"Guarenas Guarenas, Venezuela";"Materias Primas Y Accesorios"
"METALMECÈNICA COMPLEX, C.A.";"";"Tel: (58) (212) 2486980";"Charavalle Caracas, Venezuela";"Materias Primas Y Accesorios"
"CRISTALES ARQUITECTÊNICOS S.A.";"";"Telefax: (58) (212) 2355684";"Cl. Sta. Clara, Edif. TulipÈn, P.B. Local C Boleita Norte, Caracas Caracas, Venezuela";"Materias Primas Y Accesorios"
"MEDICAS BOLIVAR";"rosalcc@yahoo.es";"Cel.: (58) 3118106275";"Atiende en Colon desde su sede principal en Pasto Colón, Venezuela";"Medicina Complementaria Y Alternativa"
"CENTRO INTERAMERICANO DE TERAPIAS ALTERNATIVAS C.A.";"";"Tel: (58) (212) 2383461";"Los Cortijos De Lourdes Caracas, Venezuela";"Medicina Complementaria Y Alternativa"
"TERAPEUTA EN MEDICINA TRADICIONAL CHINA";"";"Tel: (58) (274) 7892888";"Mérida Mérida, Venezuela";"Medicina Complementaria Y Alternativa"
"BOIRON";"";"Tel: (58) (277) 2622002";"C.C. Bayside, Porlamar, Isla de Margarita La Grita, Venezuela";"Medicina Complementaria Y Alternativa"
"CLÍNICA INTEGRAL DE LA SALUD";"";"Tel: (58) (251) 2523260";"Entre Calles 14 Y 15 Av. Venezuela Barquisimeto, Venezuela";"Medicina Complementaria Y Alternativa"
"CENTRO DE SALUD INTEGRAL VIDA NATURAL";"";"Tel: (58) (261) 7432233";"Las Delicias Maracaibo Maracaibo, Venezuela";"Medicina Complementaria Y Alternativa"
"CENTRO MÉDICO NATURAL, C.A.";"";"Tel: (58) (251) 4466659";"Entre Carrera 12 Y 13 Cl. 48 Barquisimeto, Venezuela";"Medicina Complementaria Y Alternativa"
"AVANTEC, C.A.";"";"Telefax: (58) (261) 7563517";"Maracaibo Maracaibo, Venezuela";"Medicina Complementaria Y Alternativa"
"FARMACIA LA AVENIDA";"";"Tel: (58) (272) 2365375";"Mendoza Santa rosa Trujillo, Venezuela";"Medicina Complementaria Y Alternativa"
"TOKAI AKURU C.A.";"";"Tel: (58) (212) 9513085";"Av. Av. Tamanaco, El Rosal Caracas, Venezuela";"Medicina Complementaria Y Alternativa"
"NIVEL ALFA. CENTRO ALTERNATIVO C.A.";"";"Tel: (58) (261) 46176692";"Maracaibo Maracaibo, Venezuela";"Medicina Complementaria Y Alternativa"
"INSTITUTO ROBERTS";"";"Tel: (58) (212) 7538224";"Av. Araure Cnas De Bello Monte Caracas, Venezuela";"Medicina Complementaria Y Alternativa"
"CENTRO DE TERAPIA ENERGETICA NUEVA ESPARTA";"";"Tel: (58) (295) 2629756";"C.C. Ab, P:B:, Loc.60 Pampatar, Venezuela";"Medicina Complementaria Y Alternativa"
"CENTRO ARCA";"";"Tel: (58) (243) 2692198";"C.C. Coche Aragua, Av. Maracay Maracay, Venezuela";"Medicina Complementaria Y Alternativa"
"MEDICAS BOLIVAR";"rosalcc@yahoo.es";"Cel.: (58) 3118106275";"Atiende en Colon desde su sede principal en Pasto Colón, Venezuela";"Médicos - Acupuntura"
"FEO, MARITZA";"";"Tel: (58) (241) 8574554";"C.M.G. Méndez, Edif. Anexo, Cons. 017 Valencia, Venezuela";"Médicos Cirujanos"
"MALDONADO A, JOSE DR.";"";"Tel: (58) (249) 8252146";"Ctro Policlín, La Viña Bejuma, Venezuela";"Médicos Cirujanos"
"QUINTERO, BORIS DR.";"";"Tel: (58) (241) 8345108";"La Isabelica - Valencia Valencia, Venezuela";"Médicos Cirujanos"
"RINCONES C., RAUL DR.";"";"Tel: (58) (243) 8580468";"Cl. 111, Los Colorados Maracay, Venezuela";"Médicos Cirujanos"
"ORTIZ P, JOSE A DR.";"";"Tel: (58) (243) 2450241";"CI. Vargas Norte Maracay, Venezuela";"Médicos Cirujanos"
"PEREZ H, JORGE DR.";"";"Tel: (58) (243) 2451854";"Unidad Medica Cosmopolitan Maracay Maracay, Venezuela";"Médicos Cirujanos"
"UNIDAD CLINICA QUIRURGICA LAR";"";"Tel: (58) (243) 2414465";"Detras De La Camara De Comercio La Floresta Maracay, Venezuela";"Médicos Cirujanos"
"UNIDAD MÉDICA QUIRURGICA DR. RAMON FLORES";"";"Tel: (58) (251) 2321982";"Edif. Cavendes, P-1, Cons. 1-2, Carrera 18, E/Cls 23 Y 24 Barquisimeto, Venezuela";"Médicos Cirujanos"
"MELENDEZ S, LINDA DRA.";"";"Tel: (58) (251) 2533298";"U. Quirúrgica Los Leones, P. 2. Cons B, Entre Av. Lara Y Madrid, Av. Los Leones Barquisimeto, Venezuela";"Médicos Cirujanos"
"DAVILA L, JOSE D., DR.";"";"Tel: (58) (251) 2559042";"Av. Los Leones Barquisimeto, Venezuela";"Médicos Cirujanos"
"CONTRERAS R, CARLOS E DR.";"";"Tel: (58) (251) 2314151";"Cantro Empresarial Nivel Mezzanina Carrera 18 Con Calle 23 Barquisimeto, Venezuela";"Médicos Cirujanos"
"VASQUEZ, RAMON";"";"Tel: (58) (212) 2318011";"Clínica Acosta Ortiz Cr. 19 E/Cl 30 Y 31 Caracas, Venezuela";"Médicos Cirujanos"
"ZAMBRANO B., ARLY L. DR.";"";"Tel: (58) (212) 2340722";"Policlinica Méndez Gimón Caracas, Venezuela";"Médicos Cirujanos"
"RUGGIERO M, ANGELO";"";"Tel: (58) (212) 6325234";"Las Acacias - Caracas Caracas, Venezuela";"Médicos Cirujanos"
"BAQUERO A, GUSTAVO";"";"Tel: (58) (212) 5525502";"Av. J Villegas, San Bernardino Caracas, Venezuela";"Médicos Cirujanos"
"LEMOINE, FREDERIC DR.";"";"Tel: (58) (243) 2471466";"Av. 19 de Abril Maracay, Venezuela";"Médicos Cirujanos"
"LOPEZ L, JOSE";"";"Tel: (58) (212) 9853866";"Caurimare - Caracas Caracas, Venezuela";"Médicos Cirujanos"
"LIZARRAGA, PEDRO DR.";"";"Tel: (58) (212) 5521120";"San Bernardino Caracas, Venezuela";"Médicos Cirujanos"
"HURTADO C, OSCAR DR";"";"Tel: (58) (212) 9792375";"Clínica Leopol. Aguerrevere Caracas, Venezuela";"Médicos Cirujanos"
"PORTA CH, ENRIQUE DR.";"";"Tel: (58) (212) 9850881";"Caurimare Caracas, Venezuela";"Médicos Cirujanos"
"AMAYA L., VICTOR DR.";"";"Tel: (58) (212) 9851326";"Caurimare - Caracas Caracas, Venezuela";"Médicos Cirujanos"
"ORTIZ, MAGALLY C DRA.";"";"Tel: (58) (212) 2860570";"Piso 1, Consult. 112-A Inst. Médico La Floresta Caracas, Venezuela";"Médicos Cirujanos"
"ZEMERATH";"";"Tel: (58) (212) 7539782";"Av.Ppal.Bello Monte, C.C.Bello Monte, Mezz.1, Ofic.12 Caracas, Venezuela";"Mensajería"
"MERCERIA Y ALGO MAS";"";"Tel: (58) (212) 9939213";"C.C Paseo Las Mercedes Pb Caracas, Venezuela";"Mercerías"
"CIPRI'S";"";"Tel: (58) (212) 3414184";"Cl 9 De Diciembre Caracas, Venezuela";"Mercerías"
"GANGAS TABARATO";"";"Tel: (58) (212) 8721758";"Av Simon Bolivar Propatria Caracas, Venezuela";"Mercerías"
"MERCERIA MACRAME";"";"Tel: (58) (212) 9790835";"C.C Concresa Caracas, Venezuela";"Mercerías"
"CORPORACION GRUPO DAI C.A";"";"Tel: (58) (212) 4711033";"Av Intercomunal De Antimano La Yaguara Caracas, Venezuela";"Mercerías"
"ADORNOS BEPI S.R.L.";"";"Tel: (58) (212) 2717209";"Av F De Miranda El Marquez Caracas, Venezuela";"Mercerías"
"MERCERIA DECO TODOS S.R.L.";"";"Tel: (58) (212) 2615798";"Ctro Metropolitano Chacao Caracas, Venezuela";"Mercerías"
"DISTRIBUIRDORA MELILLA C.A";"";"Tel: (58) (212) 5648716";"Av Norte Catedral Caracas, Venezuela";"Mercerías"
"DISTRIBUIDORA LARACHE C.A";"";"Tel: (58) (212) 5650334";"Cl Cuji Altagracia Caracas, Venezuela";"Mercerías"
"ADORNOS TONY, C.A.";"";"Tel: (58) (241) 8588269";"Vargas Y Rpndon Av. Bolivar Centro Valencia, Venezuela";"Mercerías"
"DAI DOUMO, C.A.";"";"Tel: (58) (241) 8596525";"Cl Independencia C.C. El Doumo. Loc. 3-4 Valencia, Venezuela";"Mercerías"
"MI MERCERIA PINEDA";"";"Tel: (58) (286) 9626973";"Av. Paseo Caroni, Alta Vista Ciudad Guayana Puerto Ordaz, Venezuela";"Mercerías"
"LOS HILOS S.R.L.";"";"Tel: (58) (281) 2861109";"C.C. Vista Mar Lecherías, Venezuela";"Mercerías"
"EL BUQUET DE LA NOVIA";"";"Tel: (58) (276) 3411055";"Centro San Cristóbal, Venezuela";"Mercerías"
"MI PEQUEÑO COSTURERO, S.A.";"";"Tel: (58) (261) 7423218";"Avenida 15, Las Delicias Norte Maracaibo, Venezuela";"Mercerías"
"ADORNOD MARIGOY, C.A.";"";"Tel: (58) (245) 5641089";"Av. Bolivar Guacará, Venezuela";"Mercerías"
"METALURGICA METRO";"";"Tel: (58) (276) 3433763";"San Pedro San Cristóbal, Venezuela";"Metros"
"JUNTA DE CONDOMINIO METRO CAPITAL";"";"Tel: (58) (212) 5760291";"Cnas De Los Caobos Caracas, Venezuela";"Metros"
"FERRE METRO C.A";"";"Tel: (58) (281) 2741373";"Av intercomunal el espejo Barcelona, Venezuela";"Metros"
"CONSTRUCCIONES PARA VIVIENDAS DEL METRO";"";"Tel: (58) (212) 2069241";"Chacao Caracas, Venezuela";"Metros"
"AGENCIA DE TRANSPORTE "EL METRO"";"";"Tel: (58) (212) 5769395";"Av. Sur 19 N³ 42, Urb. El Conde Caracas, Venezuela";"Metros"
"METRO REPUESTOS ALTAMIRA";"";"Tel: (58) (212) 2669190";"Est Metro Altamira L 7 Salida Plaza Altamira Caracas, Venezuela";"Metros"
"CONSORCIO METRO LOS TEQUES";"";"Tel: (58) (212) 3236011";"Los Teques Los Teques, Venezuela";"Metros"
"METRO CONTROL C.A.";"";"Telefax: (58) (241) 8354257";"tocuyito - Valencia - Edo. Carabobo Valencia, Venezuela";"Metros"
"CAFE METRO PLAZA, C.A.";"";"Tel: (58) (241) 8723819";"Centro Comercial Metro PLaza Local 10-11-12 Planta Baja Los Jarales Valencia, Venezuela";"Metros"
"D & D DIGITAL DISCPLAY, C.A.";"";"Tel: (58) (212) 97513736";"Prados Del Este Caracas, Venezuela";"Minitecas"
"CONNECTION PROFESIONAL DJ'S";"";"Tel: (58) (212) 9612269";"Cl. Oripoto Caracas, Venezuela";"Minitecas"
"MINITECA ENIGMA C.A.";"";"Tel: (58) (212) 5646753";"San Jose - Caracas Caracas, Venezuela";"Minitecas"
"DISCPLAY T.S.";"";"Tel: (58) (212) 707157";"La Florida Caracas, Venezuela";"Minitecas"
"LISYES DISCPLAY";"";"Tel: (58) (212) 2378967";"Av. Romulo Gallegos Los Dos Caminos Caracas, Venezuela";"Minitecas"
"MAGISTER DISCPLAY, C.A.";"";"Tel: (58) (212) 5631579";"San Jose Caracas, Venezuela";"Minitecas"
"LA ROCOLA";"";"Tel: (58) (261) 7984330";"Cl 69 Con Av 13A No. 13-86 Sector Tierra Negra, Maracaibo Maracaibo, Venezuela";"Minitecas"
"REFLECTION";"";"Tel: (58) (243) 2346408";"Maracay Maracay, Venezuela";"Minitecas"
"KINNG KARAOKE & PC DISPLAY";"";"Tel: (58) (212) 3107313";"Caracas Caracas, Venezuela";"Minitecas"
"OASIS";"";"Tel: (58) (243) 2425491";"La Cooperativa, Maracay Maracay, Venezuela";"Minitecas"
"JUST' SCALE";"";"Tel: (58) (212) 8999259";"Av. Principal, Macaracuay Caracas Caracas, Venezuela";"Minitecas"
"MINITECA ARMAGEDON";"";"Tel: (58) (281) 2659520";"ClBatallon Sierra Maestra Puerto de  la Cruz, Venezuela";"Minitecas"
"MY WAY NEW GENERATION";"";"Tel: (58) (243) 2379450";"San Isidro, Maracay Maracay, Venezuela";"Minitecas"
"KARAOKE VR";"";"Tel: (58) (212) 6939355";"Caracas Caracas, Venezuela";"Minitecas"
"PRODUCCIONES STRONGER DISCPLAY";"";"Tel: (58) (212) 8629921";"Caracas Caracas, Venezuela";"Minitecas"
"SOUND DAY'S DISCPLAY";"";"Tel: (58) (212) 6930124";"Los Chaguaramos Caracas, Venezuela";"Minitecas"
"COOL DISCPLAY";"";"Tel: (58) (212) 4148021";"Terrazas De Avila Caracas, Venezuela";"Minitecas"
"POWER MIX, C.A.";"";"Tel: (58) (212) 8735863";"Caracas Caracas, Venezuela";"Minitecas"
"MINITECA JG";"";"Tel: (58) (212) 4614924";"2da Av. Artigas Caracas, Venezuela";"Minitecas"
"SATURNO DISPLAY";"";"Tel: (58) (212) 8628848";"La Pastora No. 06-12 Caracas, Venezuela";"Minitecas"
"NEW YORK PEOPLE";"";"Tel: (58) (212) 7162660";"Av. El Parque Prados Del Este Caracas, Venezuela";"Minitecas"
"ABSOLUT PRIME TIME";"";"Tel: (58) (212) 3638848";"Av. Sanz El Marqués Caracas, Venezuela";"Minitecas"
"COLORS DISCPLAY";"";"Tel: (58) (212) 8616976";"Av. Principal Los Mecedores Caracas, Venezuela";"Minitecas"
"METALOR ACUÑACIONES, C.A.";"";"Tel: (58) (212) 2394679";"2da. Av. de Los Ruices, Edif. Toronto, Piso 5, Los Ruices. Caracas Caracas, Venezuela";"Monedas"
"Industrias Metálicas 2000";"ventas@metalicas2000.com";"Cel.: (58) 3206680047";"Atiende en Villa Del Rosario desde su sede principal en Medellín Villa del Rosario, Venezuela";"Muebles"
"INDUSTRIAS M.R.L C.A. FABRICA";"";"Tel: (58) (276) 8085111";"Calle principal,Zona INd.de Barrancas parte Baja, No 8-15 San Cristóbal, Venezuela";"Muebles"
"MELERO MUEBLES, C.A";"";"Tel: (58) (261) 7869090";"Av. 3 G, Las Mercedes Maracaibo, Venezuela";"Muebles"
"CREACIONES Y DECORACIONES RODRIGUEZ, C.A.";"";"Tel: (58) (244) 3963867";"La Villa, Ct. Nacional Cagua, Venezuela";"Muebles"
"MAR DECOR IMPORT C.A";"";"Tel: (58) (212) 9411507";"Av Principal La Tahona Caracas, Venezuela";"Muebles"
"ONDA NUEVA MUEBLES Y ACCESORIOS";"";"Tel: (58) (212) 2638062";"Av Avila Sur Altamira Al Lado De La Tr Britanica Caracas Venezuela Caracas, Venezuela";"Muebles"
"MUEBLES MARIMAR C.A";"";"Tel: (58) (212) 9770956";"Sector Industrial La Naya Caracas, Venezuela";"Muebles"
"MOBY, C.A.";"";"Tel: (58) (261) 7921624";"Cc. Costa Verbe Pb 5b entre 65 y 67 An. Bella Vista,Tierra Negra Maracaibo, Venezuela";"Muebles"
"COLOMBIANA DE ARCILLAS LA AUTENTICA,C.A.";"";"Tel: (58) (295) 2636744";"Av.Circunvalación Norte, el Poblado Porlamar, Venezuela";"Muebles"
"DISTRIBUIDORA ORINOCO";"";"Tel: (58) (281) 2869872";"Cl Bolivar Barcelona, Venezuela";"Muebles"
"DACZA MUEBLES";"";"Tel: (58) (276) 7871278";"Cra.7,No 6-132 Aguas Calientes UreÑa Ureña, Venezuela";"Muebles"
"MOBILUM C.A";"";"Tel: (58) (295) 2632592";"Av. 4 De Mayo Porlamar, Venezuela";"Muebles"
"MADERERA LA OJADEÑA, C.A.";"";"Tel: (58) (241) 5716808";"Urb. Ind. Los Guayos, Galpon 8 Valencia, Venezuela";"Muebles"
"CORPORACION GLASSCO C.A";"";"Tel: (58) (212) 2354495";"Caracas Caracas, Venezuela";"Muebles"
"PIAFERRO C.A.";"";"Tel: (58) (212) 5930842";"Urb Los Chaguaramos Av El Estadio Con Cl Los Abogados Edif Monte Carmelo Caracas, Venezuela";"Muebles"
"MUEBLES LA CANASTILLA C.A.";"";"Tel: (58) (212) 4454035";"Av. Pedro León Torres entre calles 46 y 47, Barquisimeto, Edo Lara Caracas, Venezuela";"Muebles"
"FIMOVEN";"";"Tel: (58) (212) 2181715";"1ra Transversal Santa Lucia Caracas, Venezuela";"Muebles"
"GALERÍA EL APICE C.A";"";"Tel: (58) (212) 2639732";"Cl Andrés Galarraga No. 14 Chacao Caracas, Venezuela";"Muebles"
"MUEBLES SORRENTO C.A";"";"Tel: (58) (212) 3727294";"Carr Panamericana Km 17 C.C Sorrento San Antonio De Los Altos Caracas, Venezuela";"Muebles"
"MUEBLES RAFA'S C.A";"";"Tel: (58) (212) 9620789";"Ct Via El Placer Monte Rosa Caracas, Venezuela";"Muebles"
"SOLUCIONES Y SISTEMAS C. A.";"";"Tel: (58) (291) 6414345";"Av Juncal entre carreras 14 y 15 , Edif Tecnovanguardia pb L-1 Sector Los Bloques Maturín, Venezuela";"Muebles"
"LOFT DECO";"";"Tel: (58) (212) 3936577";"Centro San Ignacio Nivel Jardin Loc J-53 Sector Manhattan Caracas, Venezuela";"Muebles"
"EXPO MUEBLES ITALIA";"";"Tel: (58) (281) 2866390";"Av Intercomunak Colinas del Neviri Barcelona, Venezuela";"Muebles"
"MUEBLES TEJERIAS";"";"Tel: (58) (295) 2646654";"Av circuvalacion Norte Porlamar, Venezuela";"Muebles"
"DECO CAMA";"";"Tel: (58) (212) 7541330";"Urb Colinas De Bello Monte Av Beethoven Edif Benedetti PB Loc 4 Bello Mo nte Caracas, Venezuela";"Muebles"
"LA CASA DEL SOFA CAMA";"";"Tel: (58) (212) 9620101";"Via Univ Simón Bolívar Carr Los Guayabitos(Antes De La Urb El Placer) Caracas, Venezuela";"Muebles"
"REMATES EL GUARO, SRL";"";"Tel: (58) (251) 2621534";"Via Acarigua, Centro Comercial La Estancia, PB Cabudare, Venezuela";"Muebles"
"GALEA";"";"Tel: (58) (261) 7400644";"Centro Sambi Maracaibo Maracaibo, Venezuela";"Muebles"
"INDUSTRIAS MALFOT C.A";"";"Tel: (58) (212) 2642711";"C.C San ignacio,Torre copérnico Piso 3,Ofic. 3-10 Av. Blandin,la castella na. Caracas, Venezuela";"Muebles"
"ML CARPINTEROS";"";"Tel: (58) (212) 5379904";"Carr Baruta El Placer Km 2 Sector Ind Monte Rosa Galpon 22 Caracas, Venezuela";"Muebles"
"KIA'S MUEBLES";"";"Tel: (58) (212) 2392965";"Los Ruices Caracas, Venezuela";"Muebles"
"CARVAJAL, S.A.";"";"Tel: (58) (212) 9525902";"Av.Av Tamanaco el Rosal Caracas, Venezuela";"Muebles"
"MUEBLES CASA BONITA C.A";"";"Tel: (58) (212) 4713156";"Av Ppal La Yaguara Caracas, Venezuela";"Muebles"
"DISTINMUEBLES C.A";"";"Tel: (58) (212) 3835443";"Ct Panamericana Km 9 Carrizal Los Teques, Venezuela";"Muebles"
"VICTORIA CENTER 2000, C.A.";"";"Tel: (58) (261) 7546972";"La Limpia- Maracaibo Maracaibo, Venezuela";"Muebles"
"MUEBLERIA YANET S.R.L.";"";"Tel: (58) (212) 9453880";"Cl Colegio Americano Loc 4317-L l Minas De Baruta Caracas, Venezuela";"Muebles"
"DECODIBO HERMAN MILLER";"";"Tel: (58) (212) 9522525";"caracas Caracas, Venezuela";"Muebles"
"L'EXCELLENTE";"";"Tel: (58) (212) 9932283";"Cl Orinoco Las Mercedes Caracas, Venezuela";"Muebles"
"CASA FACIL";"";"Tel: (58) (212) 9933014";"Cl Monterrey Las Mercedes Caracas, Venezuela";"Muebles"
"INDUSTRIAS MM CA";"";"Tel: (58) (276) 7712155";"Cl. 5, Ocumare San Antonio del Táchira, Venezuela";"Muebles"
"COMERCIAL OCCIDENTE, C.A";"";"Tel: (58) (274) 2639436";"Calle 35 Avenida 3 urb, Independencia Mérida, Venezuela";"Muebles"
"COLCHONERIA Y MUEBLERIA EL GRAN SUEÑO L.F C. A";"";"Tel: (58) (212) 6324231";"Frente A Farmacia La Milagrosa Av Nueva Granada Caracas, Venezuela";"Muebles"
"TROPITONE";"";"Tel: (58) (212) 9934026";"Qta Tropitorne Av Orinoco Con Cl Londres Las Mercedes Caracas Venezuela Caracas, Venezuela";"Muebles"
"CASARREDO C.A";"";"Tel: (58) (212) 9782808";"Prados Del Este Caracas Caracas, Venezuela";"Muebles"
"MODUSISTEMA C.A";"";"Tel: (58) (261) 7976305";"Maracaibo Maracaibo, Venezuela";"Muebles"
"FABRICA DE MUEBLES PFA C.A";"";"Tel: (58) (212) 5320629";"Filas De Mariche Filas de Mariche, Venezuela";"Muebles"
"GRUPO MITU";"";"Tel: (58) (212) 3726434";"Terrazas De La Rosaleda Sur Edif Mazzeo Loc 1-2-3 San Antonio De Los Alto s Caracas, Venezuela";"Muebles"
"CASA CAOBA MUEBLES C.A";"";"Tel: (58) (212) 9911666";"Cl Paris Las Mercedes Caracas, Venezuela";"Muebles"
"MUEBLES COMPOSTELA, C.A,";"";"Tel: (58) (261) 7614530";"Autop No1 Retorno peaje,pte Rafael Urdaneta clle unión Prolonga av25AManz Maracaibo, Venezuela";"Muebles"
"STYLUS MUEBLES ITALIANOS";"";"Tel: (58) (212) 9937266";"Av Rio De Janeiro Edif Remanso Pb Loc 1-A L Mercedes C.C Cúpulas Caracas, Venezuela";"Muebles"
"FAVEMOCA C.A";"";"Telefax: (58) (212) 8942051";"Carr Vieja Tocuyito Sector La Guasima No 190 Caracas, Venezuela";"Muebles"
"MUEBLERÍA Y COLCHONERÍA EXTRA BARATO";"";"Tel: (58) (261) 7533542";"Avenida 91 Maracaibo, Venezuela";"Muebles"
"REGALOS MI CASITA C.A";"";"Tel: (58) (212) 2561223";"El Llanito Caracas, Venezuela";"Muebles"
"MUEBLERIA PANTRY MODELO C.A.";"";"Tel: (58) (261) 7863928";"Avenida 100, Sabaneta Maracaibo, Venezuela";"Muebles"
"GRUPO FERRO C.A.";"";"Tel: (58) (212) 6930842";"Calle 155 cruce con Av. Urdaneta, Urb el Recreo (detras del hotel StouffeR) Caracas, Venezuela";"Muebles"
"COLLECTANIA";"";"Tel: (58) (212) 5143562";"6ta Transv Los Palos Grandes Caracas, Venezuela";"Muebles"
"CAPUY";"";"Tel: (58) (212) 9527611";"C.C Expreso(Beco)Chacato Piso 3 Caracas, Venezuela";"Muebles"
"INDUSTRIAS DACA";"";"Tel: (58) (261) 7870596";"Av, intercomunal Simón Bolívar, Local No 15-226,UreÑa, Edo.Tachira Maracaibo, Venezuela";"Muebles"
"INVERSIONES EXCLUSIVAS QUIROZ, S.A.";"";"Tel: (58) (261) 7971494";"Av 8A,Dr Portillo Maracaibo, Venezuela";"Muebles"
"EXPO FERIA DEL MUEBLE";"";"Tel: (58) (261) 7232463";"Av.15, Loc 22 y 23, Al Lado Enelven Las Playitas Maracaibo, Venezuela";"Muebles"
"ATMOSFERAS";"";"Tel: (58) (212) 9931806";"Cl Paris Entre Mucuchies Y Monterrey Las Mercedes Caracas Caracas, Venezuela";"Muebles"
"CLARICE GALERY";"";"Tel: (58) (241) 8214281";"El Viñedo Valencia, Venezuela";"Muebles"
"FURSYS";"";"Tel: (58) (212) 9911782";"Av Orinoco Entre Cl Jalisco Y Monterrey Sede Muebles Mary Las Mercedes Caracas, Venezuela";"Muebles"
"FABRICA DE MUEBLES ROCHE C.A";"";"Tel: (58) (212) 2427275";"Filas De Mariche Filas de Mariche, Venezuela";"Muebles"
"MUEBLES Y CRISTALAS FRANKARLOS, C.A.";"";"Tel: (58) (276) 7870993";"Simón Bolívar Ureña, Venezuela";"Muebles"
"MUEBLES Y ARTESANIA MEXICANA";"";"Tel: (58) (212) 9926918";"Chuao Caracas Caracas, Venezuela";"Muebles"
"AMAZONAS";"";"Tel: (58) (212) 9750994";"C.C Parque Humboldt Nivel Cine Prados Del Este Caracas Caracas, Venezuela";"Muebles"
"PUFF CENTER C.A";"";"Tel: (58) (212) 9794735";"C.C Concresa Piso P-1 Loc 331 Al Lado De La Cantv Prados Del Este Caracas, Venezuela";"Muebles"
"MIL Y UN DISEÑO C.A";"";"Tel: (58) (212) 8728196";"Av El Molino Catia Caracas, Venezuela";"Muebles"
"CORPORACION IDEA21 CARACAS, S.A.";"";"Tel: (58) (212) 7152100";"Cl.9 La Urbina Caracas, Venezuela";"Muebles"
"INVERSIONES MARTHA MUEBLE,C.A";"";"Tel: (58) (276) 7871914";"Carrera 3 Ureña, Venezuela";"Muebles"
"XIPANGO";"";"Tel: (58) (212) 9936949";"Cl Madrid Las Mercedes Caracas, Venezuela";"Muebles"
"MUEBLES GIOVANNI 2000 C.A";"";"Tel: (58) (212) 5432834";"Av Lecuna Santa Rosalia Loc No 26 Caracas, Venezuela";"Muebles"
"Industrias Metálicas 2000";"ventas@metalicas2000.com";"Cel.: (58) 3206680047";"Atiende en Villa Del Rosario desde su sede principal en Medellín Villa del Rosario, Venezuela";"Muebles Metálicos"
"INVERSIONES METAL 4,C.A";"";"Tel: (58) (212) 2462171";"Km 1 Carret Petare Santa Lucia Mariche Filas de Mariche, Venezuela";"Muebles Metálicos"
